;Локальная тема;Описание
237;Повреждение остановочного павильона;На остановки общестевенного транспорта в районе ,, Южное-Бутобо ,, станции метро улица.Скобелевская ,, повреженное стекло .Прошу Вас принять меры пока не кто не пострадал от этого стекла . Фотки имеются этой останоки где нужно привести стекло в нормальный вид .С Суважением Активный Гражданин г.Москвы !
238;Повреждение остановочного павильона;
239;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;
240;Отсутствие или повреждение урн;
241;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;
242;Неисправное электронное информационное табло/пилон;Не выводится информация о прибытии автобусов на пилоне!
243;Повреждение остановочного павильона;
244;Повреждение остановочного павильона;Треснули сиденья у остановочного павильона!
245;Отсутствие или повреждение урн;Плохо закреплена урна вот вот упадёт 
246;Отсутствие или повреждение урн;
247;Незаконные объявления, надписи, изображения на павильоне;
248;Повреждение остановочного павильона;Как так?
249;Отсутствие или повреждение урн;Когда уборщики будут обода на урны одевать,как положено?Неужели нравится жалобы получать?
250;Повреждение остановочного павильона;Демонтировали остановочный павильон, а Новый не установили
251;Повреждение остановочного павильона;На остановки общественного городского транспорта в районе ,, Южное-Бутово ,, на остановки № 3 микрорайон ,, Южного-Бутово ,, поврежденное стекло .Прошу Вас принять меры пока не кто не пострадал от этого стекла . Фотки имеются этой остановки где нужно привести стекло в нормальный вид . С Уважением Активный Гражданин г. Москвы !
252;Незаконные объявления, надписи, изображения на павильоне;
253;Повреждение остановочного павильона;Давно не крашена.
254;Незаконные объявления, надписи, изображения на павильоне;
255;Незаконные объявления, надписи, изображения на павильоне;
