;Локальная тема;Описание
257;Незаконная установка рекламной конструкции;Незаконная установка рекламной конструкции на жилом доме.
258;Незаконная установка рекламной конструкции;Рекламная ткань . Не согласованная . Снимаем 
259;Несоблюдение требований к размещению информационных вывесок;"Указанные конструкции размещены с нарушением требований Постановления Правительства Москвы от 25.12.2013 г. №902-ПП ""О размещении информационных конструкций в городе Москве"". Авиамоторная, 33"
260;Несоблюдение требований к размещению информационных вывесок;Проверить надо, вывески не над магазином а за углом висят
261;Несоблюдение требований к размещению информационных вывесок;Несоответствие 902-ПП. На информационных вывесках указан номер телефона, что запрещено законом. И неважно, за стеклом это или на фасаде, в законе об этом ни слова. Необходимо выдать собственнику помещений предписание на демонтаж. Митинская улица д.16
262;Несоблюдение требований к размещению информационных вывесок;Полнейшее несоблюдение закона 902-ПП. Вывески не соответствуют максимально допустимым длине, ширине, весь текст в несколько рядов, что запрещено законом. У Ленты 4 абсолютно идентичных вывески, хотя положена всего одна вывеска одного типа. Просьба всё демонтировать в соответствии с 902-ПП, здание на особом контроле у инициативной группы.
263;Несоблюдение требований к размещению информационных вывесок;Две консольные конструкции на расстоянии менее 10 м.
264;Несоблюдение требований к размещению информационных вывесок;Прошу проверить законность размещения табло с мигающим сменным изображением курсов валют.
265;Незаконная установка рекламной конструкции;"Рекламная конструкция размещённая на остановке ""Улица Куусинена, 9"" (на фото) установлена без разрешения. Демонтируйте пожалуйста"
266;Несоблюдение требований к размещению информационных вывесок;
267;Незаконная установка рекламной конструкции;Незаконная установка рекламных носителей
268;Незаконная установка рекламной конструкции;Требую обязать убрать. Постоянно ставят, надоело уже на них жаловаться на портал 
269;Незаконная установка рекламной конструкции;"Спустя месяц после сообщения №26068795 рекламная конструкция на остановке ""Метро Полежаевская"" была размещена повторно. Демонтируйте пожалуйста"
270;Незаконная установка рекламной конструкции;"На остановку ""МАДИ"" из центра (в сторону области) выдано только одно разрешение на рекламную конструкцию №00406-90944. Но реклама размещена на 3 остановках, когда разрешение на рекламу дано только на 1 из остановок. Прошу демонтировать 2 незаконные рекламные конструкции"
271;Несоблюдение требований к размещению информационных вывесок;Со стороны дома по Нижней Красносельской улице самовольно развешана без каких-либо требований к ее содержанию и внешнему облику! Срочно примите меры по исправлению! Стыдно за Москву !
272;Несоблюдение требований к размещению информационных вывесок;На здании прикреплена реклама из баннерной ткани. Это нарушение. Прошу её снять.
273;Несоблюдение требований к размещению информационных вывесок;Прошу проверить рекламные вывески на Медцентре!
274;Несоблюдение требований к размещению информационных вывесок;Выше линии 1го этажа
275;Несоблюдение требований к размещению информационных вывесок;Огромная информационная вывеска на кровле, возможно размещена с нарушениями. Прошу проверить Повторюсь, вывеска информационная, не рекламная, не надо сообщение размещать в раздел незаконных рекламных конструкций!! Вывеска информационная!!!!!
276;Несоблюдение требований к размещению информационных вывесок;Информационная вывеска на фасаде здания. 
277;Незаконная установка рекламной конструкции;"Реклама размещённая на остановке ""ТРЦ Авиапарк"" (на фото) установлена без разрешения. Демонтируйте пожалуйста"
278;Несоблюдение требований к размещению информационных вывесок;Конструкции хостела на остеклении.
279;Несоблюдение требований к размещению информационных вывесок;Прошу проверить конструкцию на соответствие требованиям.
280;Незаконная установка рекламной конструкции;Прошу проверить табло на фасаде здания на соответствие требованиям.
281;Несоблюдение требований к размещению информационных вывесок;Рекламная конструкция, сообщающая о скидках магазина неопределённому кругу лиц, на фасаде.
282;Несоблюдение требований к размещению информационных вывесок;Нарушение требований к информационным конструкциям. Конструкция в виде фигуры, меню, консольная конструкция с указанием номером телефона и инстаграм-аккаунтом.
283;Несоблюдение требований к размещению информационных вывесок;Конструкция «аренда» на фасаде.
284;Несоблюдение требований к размещению информационных вывесок;Информационные конструкции на остеклении, в виде флагов.
285;Несоблюдение требований к размещению информационных вывесок;Нарушение требований к информационным конструкциям. Указатели на фасаде и ограждении здания.
286;Несоблюдение требований к размещению информационных вывесок;Прошу проверить вывеску на фасаде на соответствие требованиям.
287;Несоблюдение требований к размещению информационных вывесок;Несоблюдение требований к информационным конструкциям. Конструкция общепита.
288;Несоблюдение требований к размещению информационных вывесок;
289;Несоблюдение требований к размещению информационных вывесок;
290;Несоблюдение требований к размещению информационных вывесок;Необходимо исключить плоскую подложку. Несоответствие архитектурно-художественной концепции по улице Проспект Генерала Алексеева (п. 6 902-ПП).
291;Несоблюдение требований к размещению информационных вывесок;Консольная конструкция не предусмотрена архитектурно-художественной концепцией по улице Проспект Генерала Алексеева (п. 6 902-ПП).
292;Несоблюдение требований к размещению информационных вывесок;Несоответствие архитектурно-художественной концепции по улице Проспект Генерала Алексеева (п. 6 902-ПП).
293;Незаконная установка рекламной конструкции;Мне самому убирать эту рекламу со стула . 
294;Несоблюдение требований к размещению информационных вывесок;Необходимо исключить плоскую подложку. Несоответствие архитектурно-художественной концепции по улице Проспект Генерала Алексеева (п. 6 902-ПП).
295;Несоблюдение требований к размещению информационных вывесок;Конструкции располагаются на плоской подложке. Прошу проверить на соответствие архитектурно-художественной концепции по улице Проспект Генерала Алексеева (п. 6 902-ПП).
296;Несоблюдение требований к размещению информационных вывесок;Конструкция не предусмотрена архитектурно-художественной концепцией по улице Проспект Генерала Алексеева (п. 6 902-ПП).
297;Незаконная установка рекламной конструкции;"Рекламная конструкция размещённая на остановке ""Метро Сокол"" (на фото) установлена без разрешения. Демонтируйте пожалуйста"
298;Незаконная установка рекламной конструкции;Самодельные рекламные конструкции из картона, палок и скотча
299;Несоблюдение требований к размещению информационных вывесок;"Общество с ограниченной ответственностью «Аптечная сеть «Эвалар» является собственником помещения по адресу: г. Москва, Зубовский бульвар, д.13, стр.1 (Аптека ""Эвалар""). По состоянию на 10.08.2020 без нашего согласия на фасаде Помещения размещены незаконные информационные конструкции (вывески, баннеры). Прошу содействовать демонтажу."
300;Незаконная установка рекламной конструкции;На столбах освещения прикреплены одинаковые таблички с рекламной информацией.
301;Несоблюдение требований к размещению информационных вывесок;Прошу проверить на нарушения требований при размещении информационных вывесок. 
302;Несоблюдение требований к размещению информационных вывесок;"Опровергаю ответ на обращение№ 26889648 на лицо нарушение постановление Правительства Москвы от 25.12.2013 г. №902-ПП ""О размещении информационных конструкций в городе Москве"". Запрещено размещение вывесок, в конструкциях которых используется баннерная ткань п. 2.10.2, п. 2.10.9.Прошу демонтировать!"
303;Несоблюдение требований к размещению информационных вывесок;Большая информационная вывеска, вертикальная, кажется размещена с нарушениями, по габаритам и месту расположения. Прошу проверить.
304;Незаконная установка рекламной конструкции;Незаконная установка штендера.
305;Незаконная установка рекламной конструкции;
306;Незаконная установка рекламной конструкции;"Рекламная конструкция размещённая на остановке ""Метро Сокол"" (на фото) установлена без разрешения. Демонтируйте пожалуйста"
307;Несоблюдение требований к размещению информационных вывесок;Прошу проверить размещённые информационные вывески на фасаде здания на соответствие требованиям.
308;Несоблюдение требований к размещению информационных вывесок;
309;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП, на балконе
310;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
311;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
312;Незаконная установка рекламной конструкции;
313;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
314;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
315;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП (вертикальная вывеска, размещение на балконе, нарушен размер)
316;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
317;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
318;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
319;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
320;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
321;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
322;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
323;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
324;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
325;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
326;Несоблюдение требований к размещению информационных вывесок;вывеска не соответствует 902 пп
327;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
328;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
329;Незаконная установка рекламной конструкции;
330;Незаконная установка рекламной конструкции;Рекламная табличка выкупа на столбе . Кто раньше снимет - вы или Я. А то мне фанера нужна ! 
331;Несоблюдение требований к размещению информационных вывесок;"Внешняя сторона дома. Организация под вывеской ""стоматология"". В оконном проеме конструкция из баннерной ткани, занимающая 100% площади остекления (поверх остекления). Содержит номер телефона в тексте. Нарушение 902-ПП "
332;Несоблюдение требований к размещению информационных вывесок;нарушение 902 ПП
333;Несоблюдение требований к размещению информационных вывесок;нарушение 902 ПП
334;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
335;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
336;Незаконная установка рекламной конструкции;
337;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
338;Незаконная установка рекламной конструкции;
339;Несоблюдение требований к размещению информационных вывесок;вывеска не соответствует 902 пп
340;Несоблюдение требований к размещению информационных вывесок;вывеска не соответствует 902 пп
341;Несоблюдение требований к размещению информационных вывесок;Огромные информационные вывески на строящемся здании.
342;Незаконная установка рекламной конструкции;Внешняя сторона дома. Прошу демонтировать штендер
343;Несоблюдение требований к размещению информационных вывесок;"""Студия шугаринга"" со стороны Тарханской ул. Наклейки с расценками поверх остекления (с внешней стороны), нарушение п.20.3 Постановления 902-ПП"
344;Несоблюдение требований к размещению информационных вывесок;Здравствуйте. Информационные вывески не соответствуют требованиям. Примите меры. Спасибо. 
345;Несоблюдение требований к размещению информационных вывесок;
346;Несоблюдение требований к размещению информационных вывесок;Огромные информационные баннеры. Прошу проверить.
347;Несоблюдение требований к размещению информационных вывесок;Расстояние от фасада более 0,2 м (п. 19.2 902-ПП).
348;Незаконная установка рекламной конструкции;Не законная рекламная конструкция, 
349;Незаконная установка рекламной конструкции;Незаконная установка рекламоного штендера Парикмахерской
350;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламные конструкции на несоблюдение требований к размещению информационных вывесок.
351;Незаконная установка рекламной конструкции;Установка рекламы на фасаде здания , рекламные конструкции на дороге , зазывала с громкоговорителем на стремянке.
352;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламные конструкции на несоблюдение требований к размещению информационных вывесок.
353;Незаконная установка рекламной конструкции;На каком основании на заборе городского парка реклама фитнес клуба карибия? Привет директору паркп
354;Ненадлежащее состояние рекламной конструкции;
355;Незаконная установка рекламной конструкции;Рекламная стойка
356;Несоблюдение требований к размещению информационных вывесок;
357;Несоблюдение требований к размещению информационных вывесок;
358;Несоблюдение требований к размещению информационных вывесок;
359;Незаконная установка рекламной конструкции;
360;Незаконная установка рекламной конструкции;А хозяин молодец - огурец . Снимаем табличку со столба . Низко . 
361;Несоблюдение требований к размещению информационных вывесок;Консольные конструкции располагаются не на одной горизонтальной линии с другими информационными конструкциями, нарушение геометрических параметров.
362;Незаконная установка рекламной конструкции;Бегущая строка, нарушение п. 10.2 902-ПП.
363;Незаконная установка рекламной конструкции;Реклама удаления деревьев на столбе .
364;Незаконная установка рекламной конструкции;Добрый день! Внешняя сторона дома. Настенная вывеска не может быть коммерческим предложением. Прошу демонтировать
365;Несоблюдение требований к размещению информационных вывесок;Нарушение геометрических параметров инфобаннера
366;Несоблюдение требований к размещению информационных вывесок;Информационные конструкции размещены не на единой горизонтальной линии (п. 18.1 902-ПП).
367;Несоблюдение требований к размещению информационных вывесок;"Прошу демонтировать вывески, не отвечающие требованиям постановления Правительства Москвы от 25.12.2013 г. №902-ПП ""О размещении информационных конструкций в городе Москве"".2-я улица Синичкина д.19"
368;Несоблюдение требований к размещению информационных вывесок;На рекламной вывеске номера телефонов.
369;Несоблюдение требований к размещению информационных вывесок;"Реклама содержит адрес сайта в Интернете. На портале есть информация, что это нарушение. Рекламная вывеска находится на остановке общественного транспорта ""Платформа ""Лось""."
370;Незаконная установка рекламной конструкции;Конструкция отсутствует на карте разрешённых!
371;Несоблюдение требований к размещению информационных вывесок;Баннерная ткань, нарушение 902-ПП
372;Незаконная установка рекламной конструкции;После роскошной березы в область справа рекламная табличка удаления деревьев . Халтурят ребята . Обращайтесь !!
373;Незаконная установка рекламной конструкции;Прошу демонтировать
374;Несоблюдение требований к размещению информационных вывесок;Нарушение геометрических параметров инфобаннера
375;Несоблюдение требований к размещению информационных вывесок;Прошу проверить габариты информационной вывески.
376;Незаконная установка рекламной конструкции;Огромный информационный баннер, вывеска. Прошу проверить.
377;Несоблюдение требований к размещению информационных вывесок;Вернулась на свое «место» информационная вывеска, размещаемая снова и снова с нарушением. Прошу проверить.
378;Незаконная установка рекламной конструкции;Прошу проверить!
379;Несоблюдение требований к размещению информационных вывесок;На историческом доме появилась рекламная конструкция магазина Дикси, которая портит облик дома
380;Незаконная установка рекламной конструкции;На портале размещена информация, что рекламная вывеска не должна содержать номера телефонов.
381;Несоблюдение требований к размещению информационных вывесок;Информационные конструкции на фасаде и двери.
382;Несоблюдение требований к размещению информационных вывесок;"Витринная конструкция ""Табак"" занимает более 50% по ширине витрины."
383;Незаконная установка рекламной конструкции;Штендер. 
384;Несоблюдение требований к размещению информационных вывесок;Согласно ПП от 25 декабря 2013 г. N 902-ПП о размещении ИНФОРМАЦИОННЫХ КОНСТРУКЦИЙ. Нарушены пункты: 2.10.2 (баннер), 10.3 (на заборе). 12. На внешних поверхностях одного здания организация вправе установить не более одной конструкции каждого из типов. высота вывески не должна превышать 0,50 м 15. При ... вывески размещаются на одном уровне.
385;Несоблюдение требований к размещению информационных вывесок;На желез заборе при въездах и выездах на Территории домов 11,корпус 2и лома11,корпус 3,на фасадах домов, на вентиляционных коробах незаконно размешена Реклама Фитнес клуб Сенатор. ВСразъяснил что размещать рекламу на любой части Дома без согласия жильцов нельзя. от 27.01.20г. Прошу устранить нарушение.
386;Несоблюдение требований к размещению информационных вывесок;Конструкция не соответствует архитектурно-художественной концепции по улице Центральный проспект
387;Несоблюдение требований к размещению информационных вывесок;Информационная консольная конструкция не соответствует архитектурно-художественной концепции по улице Центральный проспект
388;Несоблюдение требований к размещению информационных вывесок;Консольная конструкция не соответствует архитектурно-художественной концепции по улице Центральный проспект.
389;Несоблюдение требований к размещению информационных вывесок;Геометрические параметры не соответствуют 902-ПП
390;Несоблюдение требований к размещению информационных вывесок;Баннерная ткань. Несоответствие архитектурно-художественной концепции.
391;Несоблюдение требований к размещению информационных вывесок;Прошу демонтировать. На внешней поверхности остекления 
392;Несоблюдение требований к размещению информационных вывесок;Баннер не соответствует архитектурно-художественной концепции по улице Центральный проспект
393;Несоблюдение требований к размещению информационных вывесок;Информационные конструкции не соответствуют архитектурно-художественной концепции по улице Центральный проспект
394;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция (находится по месту нахождения организации). Прошу проверить на соответствие архитектурно-художественной концепции и 902-ПП.
395;Несоблюдение требований к размещению информационных вывесок;Конструкция располагается не на плоской подложке. Подложки должны располагаться в единой плоскости, обеспечивая непрерывность по всей длине. Прошу проверить на соответствие архитектурно-художественной концепции по улице Центральный проспект.
396;Несоблюдение требований к размещению информационных вывесок;Конструкции не соответствуют архитектурно-художественной концепции по улице Центральный проспект
397;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция не соответствует архитектурно-художественной концепции по улице Центральный проспект
398;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция не соответствует архитектурно-художественной концепции по улице Центральный проспект (902-ПП)
399;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция не соответствует архитектурно-художественной концепции по улице Центральный проспект
400;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция без подложки с указанием номера телефона. Прошу проверить на соответствие архитектурно-художественной концепции и 902-ПП.
401;Несоблюдение требований к размещению информационных вывесок;"Конструкция с текстом ""ВТБ..."" располагается не на плоской подложке. Подложки располагаются в единой плоскости, обеспечивая непрерывность по всей длине. Не соответствует архитектурно-художественной концепции по улице Центральный проспект."
402;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция не соответствует архитектурно-художественной концепции и 902-ПП.
403;Незаконная установка рекламной конструкции;Незаконное размещение рекламы на крыше здания
404;Несоблюдение требований к размещению информационных вывесок;Магазин разливного пива нарушает закон о рекламе, размещая слово «пиво» на рекламной вывеске. Прошу принять меры.
405;Незаконная установка рекламной конструкции;Около метро коломенская незаконная реклама
406;Несоблюдение требований к размещению информационных вывесок;Нарушение правил размещения вывесок и информационных материалов на фасадах зданий города Москвы 
407;Несоблюдение требований к размещению информационных вывесок;Баннер на новостройке Юннатов 4
408;Ненадлежащее состояние рекламной конструкции;разбито стекло
409;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламную конструкцию на несоблюдение требований к размещению информационных вывесок.
410;Незаконная установка рекламной конструкции;
411;Несоблюдение требований к размещению информационных вывесок;
412;Несоблюдение требований к размещению информационных вывесок;Полное перекрытие оконных проёмов, табло-бегущая строка.
413;Несоблюдение требований к размещению информационных вывесок;Витринные конструкции, занимающие более 50% по ширине витрины в пределах переплётов. 
414;Несоблюдение требований к размещению информационных вывесок;Витринная конструкция, занимающая более 50% витрины по ширине.
415;Несоблюдение требований к размещению информационных вывесок;Витринные конструкции, занимающие более 50% витрин по ширине (в пределах переплётов).
416;Незаконная установка рекламной конструкции;Незаконная установка 4х знаков автомойка/автосервис
417;Незаконная установка рекламной конструкции;
418;Несоблюдение требований к размещению информационных вывесок;
419;Несоблюдение требований к размещению информационных вывесок;В очередной раз (четвертый или пятый)появилась незаконная вывеска(за стеной жилое помещение).Эти вывески снимают,но адвокаты упорно вешают их вновь.Не пора ли их оштрафовать,так как на стене после снятия вывески остаются следы.
420;Несоблюдение требований к размещению информационных вывесок;Наклейки на дверях не соответствуют архитектурно-художественной концепции и 902-ПП
421;Несоблюдение требований к размещению информационных вывесок;Инфобаннер на двери не предусмотрен архитектурно-художественной концепцией по улице Сосновая аллея
422;Незаконная установка рекламной конструкции;Снова вывешена незаконная реклама на заборе. Прошу устранить нарушения
423;Незаконная установка рекламной конструкции;Реклама бетона на столбе плакат
424;Незаконная установка рекламной конструкции;Прошу проверить информационную конструкцию на соответствие требованиям.
425;Несоблюдение требований к размещению информационных вывесок;Консольная конструкция не предусмотрена архитектурно-художественной концепцией по улице Сосновая аллея
426;Незаконная установка рекламной конструкции;Большое количество незаконных рекламных конструкций
427;Незаконная установка рекламной конструкции;Устраните.
428;Несоблюдение требований к размещению информационных вывесок;Буквенно-символьные элементы вывески должны размещаться на единой горизонтальной линии
429;Незаконная установка рекламной конструкции;Инфобаннер из баннерной ткани на ограждении
430;Несоблюдение требований к размещению информационных вывесок;Ранее было обращение по поводу размещения вывески не соответствующей требованиям, владелец снял её в момент приезда сотрудников, а теперь опять разместил.
431;Незаконная установка рекламной конструкции;Множество незаконных рекламных конструкций
432;Несоблюдение требований к размещению информационных вывесок;Информационные конструкции не соответствуют архитектурно-художественной концепции по улице Сосновая аллея
433;Несоблюдение требований к размещению информационных вывесок;Инфобаннер не соответствует архитектурно-художественной концепции по улице Сосновая аллея
434;Несоблюдение требований к размещению информационных вывесок;Инфобаннеры не соответствуют 902-ПП (располагаются хаотично, не на одной горизонтальной оси)
435;Несоблюдение требований к размещению информационных вывесок;Инфобаннеры не соответствуют архитектурно-художественной концепции по улице Сосновая аллея. В соответствии с указанной концепцией конструкции между первым и вторым этажом должны располагаться на плоской подложке во всю высоту фриза.
436;Несоблюдение требований к размещению информационных вывесок;Инфобаннер не соответствует архитектурно-художественной концепции по улице Сосновая аллея
437;Несоблюдение требований к размещению информационных вывесок;Информационные конструкции не соответствуют архитектурно-художественной концепции по улице Сосновая аллея
438;Незаконная установка рекламной конструкции;Размещение рекламной конструкции под стеклом остановки общественного транспорта
439;Незаконная установка рекламной конструкции;Рекоамный щит перекрывает больше 50% пешеходной дороги
440;Несоблюдение требований к размещению информационных вывесок;
441;Несоблюдение требований к размещению информационных вывесок;Информационная вывеска, баннерная ткань. Прошу проверить.
442;Несоблюдение требований к размещению информационных вывесок;нарушение ПП 902 - размещение электронного табло с бегущей строкой и тем более вертикальное расоложение
443;Незаконная установка рекламной конструкции;
444;Незаконная установка рекламной конструкции;
445;Несоблюдение требований к размещению информационных вывесок;
446;Незаконная установка рекламной конструкции;Баннер.
447;Незаконная установка рекламной конструкции;
448;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламные конструкции на несоблюдение требований к размещению информационных вывесок.
449;Незаконная установка рекламной конструкции;Является ли правомерной рекламная вывеска с номером телефона?
450;Незаконная установка рекламной конструкции;Рекламная вывеска содержит номер телефона.
451;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламные конструкции на несоблюдение требований к размещению информационных вывесок.
452;Незаконная установка рекламной конструкции;На портале размещена информация, что рекламные вывески не должны содержать номера телефонов. На киоске именно такая реклама.
453;Несоблюдение требований к размещению информационных вывесок;Нарушение требований к информационным конструкциям. Конструкции на остеклении.
454;Несоблюдение требований к размещению информационных вывесок;"На здании по адресу Москва, ул. Тверская д. 20 с1 , справа и слева от входа кофейни ""Это кофейня"" располагаются рекламные баннеры этого кафе. Просьба демонтировать, тк размещение данного формата запрещено. Владельцы разместили их спустя 1 день после демонтажа и отчета от этом на портале."
455;Несоблюдение требований к размещению информационных вывесок;Незаконная рекламная конструкция. Необходим демонтаж.
456;Несоблюдение требований к размещению информационных вывесок;
457;Ненадлежащее состояние рекламной конструкции;
458;Несоблюдение требований к размещению информационных вывесок;
459;Незаконная установка рекламной конструкции;
460;Незаконная установка рекламной конструкции;Вопреки отчетам о демонтаже, не законная рекламная конструкция стоит на прежнем месте 
461;Несоблюдение требований к размещению информационных вывесок;Красная рекламная вывеска не соответствует требованиям. Кроме того, портит знаковый вид на МГУ.
462;Незаконная установка рекламной конструкции;Штендер. 
463;Незаконная установка рекламной конструкции;
464;Незаконная установка рекламной конструкции;Постоянно выставляют стенд с рекламой прямо у входа
465;Несоблюдение требований к размещению информационных вывесок;Прошу проверить законность размещения конструкций на фасаде здания.
466;Незаконная установка рекламной конструкции;Реклама содержит номер телефона. На портале размещена информация, что это не разрешено.
467;Несоблюдение требований к размещению информационных вывесок;
468;Незаконная установка рекламной конструкции;Прошу демонтировать незаконную вывеску
469;Несоблюдение требований к размещению информационных вывесок;Магазин дикси установил незаконную информационную конструкцию
470;Несоблюдение требований к размещению информационных вывесок;
471;Ненадлежащее состояние рекламной конструкции;На рекламную конструкцию нанесены вандальные надписи/рисунки (на приложенном фото это обозначено).
472;Несоблюдение требований к размещению информационных вывесок;Просьба разобраться с данной тряпкой
473;Несоблюдение требований к размещению информационных вывесок;"Ранее подавал обращение по данной проблеме, спасибо, месяц бились, устранили. Прошло 4 дня и эти ""предприниматели"" опять повесили вывеску. Не могу нормально спать ночью, опять будто дальним светом в окно светят, вывеска на уровне второго этажа, прямо в окно."
474;Несоблюдение требований к размещению информационных вывесок;
475;Несоблюдение требований к размещению информационных вывесок;Мигающая конструкция на обменнике - прошу проверить законность установки сменного/мигающего изображения.
476;Несоблюдение требований к размещению информационных вывесок;"Вывеска ""Парикмахерская"" с номером телефона."
477;Несоблюдение требований к размещению информационных вывесок;
478;Несоблюдение требований к размещению информационных вывесок;
479;Несоблюдение требований к размещению информационных вывесок;
480;Несоблюдение требований к размещению информационных вывесок;
481;Несоблюдение требований к размещению информационных вывесок;
482;Несоблюдение требований к размещению информационных вывесок;
483;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
484;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
485;Несоблюдение требований к размещению информационных вывесок;
486;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
487;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
488;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
489;Несоблюдение требований к размещению информационных вывесок;
490;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
491;Несоблюдение требований к размещению информационных вывесок;вывески не соответствуют 902 пп
492;Несоблюдение требований к размещению информационных вывесок;
493;Незаконная установка рекламной конструкции;незаконная реклама
494;Незаконная установка рекламной конструкции;незаконная реклама
495;Незаконная установка рекламной конструкции;незаконная реклама
496;Несоблюдение требований к размещению информационных вывесок;Вызывает сомнения баннер на №902-ПП. Просьба проверить
497;Незаконная установка рекламной конструкции;
498;Незаконная установка рекламной конструкции;
499;Несоблюдение требований к размещению информационных вывесок;Рекламная ткань на стекле . Червонная . КПРФовская 
500;Несоблюдение требований к размещению информационных вывесок;Информационная вывеска с номером телефона, снаружи оконных проемов. 
501;Несоблюдение требований к размещению информационных вывесок;
502;Несоблюдение требований к размещению информационных вывесок;Название «столовая» не соответствует принадлежности жилого дома и транспортной организации.
503;Несоблюдение требований к размещению информационных вывесок;
504;Незаконная установка рекламной конструкции;
505;Несоблюдение требований к размещению информационных вывесок;Очень яркая вывеска аптеки. Прошу проверить соответствует ли вывеска нормативам
506;Незаконная установка рекламной конструкции;
507;Несоблюдение требований к размещению информационных вывесок;Информационная вывеска «Продажа машиномест» с номером телефона, размещена с нарушениями. Прошу убрать. Повторюсь - вывеска информационная!!
508;Несоблюдение требований к размещению информационных вывесок;
509;Несоблюдение требований к размещению информационных вывесок;
510;Незаконная установка рекламной конструкции;Реклама прикреплена к ограждению
511;Несоблюдение требований к размещению информационных вывесок;
512;Незаконная установка рекламной конструкции;Реклама регулярно и круглогодично шб. 
513;Незаконная установка рекламной конструкции;
514;Незаконная установка рекламной конструкции;
515;Несоблюдение требований к размещению информационных вывесок;
516;Незаконная установка рекламной конструкции;В продолжение сообщения №26578870 незаконная рекламная конструкция продолжает стоять на этом месте.
517;Несоблюдение требований к размещению информационных вывесок;
518;Несоблюдение требований к размещению информационных вывесок;
519;Незаконная установка рекламной конструкции;Добрый день. На зеленой лужайке появилась рекламная конструкция. Этой конструкции нет в схеме размещения.Просьба разобраться и прояснить ситуацию с законностью размещения.Спасибо.
520;Несоблюдение требований к размещению информационных вывесок;
521;Несоблюдение требований к размещению информационных вывесок;
522;Несоблюдение требований к размещению информационных вывесок;
523;Несоблюдение требований к размещению информационных вывесок;
524;Незаконная установка рекламной конструкции;
525;Незаконная установка рекламной конструкции;
526;Незаконная установка рекламной конструкции;
527;Несоблюдение требований к размещению информационных вывесок;
528;Незаконная установка рекламной конструкции;
529;Несоблюдение требований к размещению информационных вывесок;
530;Несоблюдение требований к размещению информационных вывесок;
531;Несоблюдение требований к размещению информационных вывесок;
532;Несоблюдение требований к размещению информационных вывесок;
533;Несоблюдение требований к размещению информационных вывесок;
534;Несоблюдение требований к размещению информационных вывесок;
535;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
536;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
537;Несоблюдение требований к размещению информационных вывесок;
538;Несоблюдение требований к размещению информационных вывесок;
539;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
540;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
541;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
542;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
543;Несоблюдение требований к размещению информационных вывесок;"Магазин ""Vape nation"" . Использует на фасаде здания баннерную растяжку , и использует английские буквы можно ли так? "
544;Незаконная установка рекламной конструкции;Просим убрать незаконно размещённую рекламную конструкцию. 
545;Незаконная установка рекламной конструкции;Проверьте законность размещения рекламы - МЕТАЛЛ.
