;Локальная тема;Описание
59;Незаконная установка рекламной конструкции;Рекламная конструкция отсутствует на карте разрешённых. Она уже ДВА раза демонтировалась по сообщениям №26638056, №26005785.
60;Несоблюдение требований к размещению информационных вывесок;В нарушение требований 902-ПП нарушена единая горизонтальная линия при размещении одновременно вывесок нескольких организаций. Прошу привести в соответствие.
61;Незаконная установка рекламной конструкции;В нарушение требований 902-ПП п. 2.10.3 размещена информационная конструкция - штендер, прошу убрать.
62;Несоблюдение требований к размещению информационных вывесок;Информационные баннеры из ткани. 
63;Несоблюдение требований к размещению информационных вывесок;Конструкция не на плоской подложке. Прошу проверить на соответствие архитектурно-художественной концепции по улице Панфиловский проспект
64;Несоблюдение требований к размещению информационных вывесок;"Прошу демонтировать вывески, не отвечающие требованиям постановления Правительства Москвы от 25.12.2013 г. №902-ПП ""О размещении информационных конструкций в городе Москве"".Авиамоторная улица д.47"
65;Несоблюдение требований к размещению информационных вывесок;Указанные конструкции не предусмотрены архитектурно-художественной концепцией по улице Панфиловский проспект
66;Несоблюдение требований к размещению информационных вывесок;"не соблюдение требований 902 ПП. бегущие строки у аптеки и ломбарда,по адресу Вернадского 9/10 около магазина ""ВкусВилл"" со стороны метро ""Униветситет"""
67;Несоблюдение требований к размещению информационных вывесок;Номер телефона на фасаде.
68;Несоблюдение требований к размещению информационных вывесок;Прошу проверить ИНФОРМАЦИОННУЮ КОНСТРУКЦИЮ на соответствие требованиям.
69;Несоблюдение требований к размещению информационных вывесок;
70;Незаконная установка рекламной конструкции;Добрый день! Около 5 подъезда Арендатором детской мастерской на газоне придомовой территории выставлена указанная на фото конструкция, что повлечёт гибель газона. Прошу проверить законность установки, принять меры
71;Несоблюдение требований к размещению информационных вывесок;
72;Ненадлежащее состояние рекламной конструкции;На одной стороне рекламной конструкции нет стекла и видны трубки
73;Несоблюдение требований к размещению информационных вывесок;Эту рекламную вывеску уже не сколько раз признавали НЕ ЗАКОННО установленной. Демонтировали. Владелец опять разместил.
74;Несоблюдение требований к размещению информационных вывесок;Проверьте вывеску
75;Несоблюдение требований к размещению информационных вывесок;Несоблюдение дизайн-кода в ЦАО у ОКН
76;Незаконная установка рекламной конструкции;Просьба убрать рекламу 
77;Незаконная установка рекламной конструкции;Во вторник 18.08.20 г. время 17-00 по адресу ул. Автозаводская,д. 4 стойка та же как всегда и на том же месте стоит. Разберитесь и уберите её.
78;Несоблюдение требований к размещению информационных вывесок;Информационные вывески, вертикально. Прошу проверить.
79;Незаконная установка рекламной конструкции;Штендер. 
80;Несоблюдение требований к размещению информационных вывесок;
81;Незаконная установка рекламной конструкции;Незаконная рекламная конструкция в виде большого рекламного штендера. Очень мешает пешеходам и уродует исторический облик Арбата. Конструкция на колесиках и они ее передвигают, мое предположение, видимо владельцы данной рекламы дают взятки надзорным органам, что бы их не трогали. Прошу принять меры. С уважением, Елена
82;Несоблюдение требований к размещению информационных вывесок;Незаконное размещение рекламы магазина с алкогольной продукцией на фасаде дома
83;Незаконная установка рекламной конструкции;
84;Несоблюдение требований к размещению информационных вывесок;Незаконная реклама на фасаде.
85;Несоблюдение требований к размещению информационных вывесок;Реклама перемещена, но не убрана.
86;Несоблюдение требований к размещению информационных вывесок;Незаконная реклама на фасаде здания. Её уже признавали НЕЗАКОННОЙ и демонтировали, а она вновь появилась.
