;Локальная тема;Описание
78;Неубранная городская территория;Мусор у камер мусоросборников. Плохое санитарное состояние разводы подтёки у пандусов с 1 по 7 подъезд.( Общественный туалет)
79;Неубранная городская территория;
80;Неубранная городская территория;
81;Разрушение/неправильная укладка тактильной плитки;разрушена тактильная плитка
82;Повреждение уличной лестницы;
83;Повреждение уличной лестницы;
84;Повреждение уличной лестницы;
85;Неубранная городская территория;
86;Некачественное содержание улично-дорожных информационных указателей;Сломан информационный указатель!
87;Захламление территории;Переполненный контейнер с мусором, кучи непонятных строительных материалов или отходов, грязь, мусор вокруг и ужасный запах тухлятины
88;Захламление территории;Здравствуйте, Уже больше недели во дворе дома №6 на Погонном проезде между 1 и 2 подъездами валяются какие-то трубы без движения (см. фото). Будьте добры, уберите их. Спасибо.
89;Неубранная городская территория; Здравствуйте. По адресу 3-я Гражданская дом 35 с1, по которому находится авто мойка, шиномонтаж, автосервис и другие аналогичные услуги, со стороны дома, по адресу Игральная дом 1 кор 1, на заборе весят грязные ковры, что не очень украшает вид из окна и наш двор в целом. Прошу Вас навести порядок на данной территории...
90;Неубранная городская территория;Мусор и грязь
91;Неубранная городская территория;Территория не убирается. Только после обращний начинают убирать.
92;Неубранная городская территория;Столб валяется на траве. Прошу убрать 
93;Неубранная городская территория;строительный мусор на газоне!Устраните нарушение!
94;Неубранная городская территория;Неубранные спиленные ветки деревьев и мусора.
95;Неубранная городская территория;"Большинство урн на пути к станции метро ""Лефортово"" переполнены уже несколько дней"
96;Некачественное содержание улично-дорожных информационных указателей;Вандальная графика.
97;Неубранная городская территория;На берегу Химкинского водохранилища находится потенциально прекрасный пляж, с очень чистым и красивым песком. К сожалению его территория в данный момент представляет угрозу для здоровья граждан. Прошу разобраться, с тем, кто ответственный за данную территорию и обязать его привести инфраструктуру в порядок.
98;Повреждение уличной лестницы;
99;Неубранная городская территория;Площадку для стоянки автомобилей между забором детского сада и Тепловым узлом долгое время никто не убирает. Неужели нет хозяина на данную территорию. 
100;Неубранная городская территория;Прошу выполнить уборку пешеходной дорожки!
101;Неубранная городская территория;
102;Неубранная городская территория;
103;Неубранная городская территория;
104;Неубранная городская территория;
105;Неубранная городская территория;
106;Некачественное содержание улично-дорожных информационных указателей;Сломанный указатель
107;Неубранная городская территория;"В нашем доме расположен салон связи ""Теле2"" , сотрудники которого установив урну , не убирают мусор , захламляют придомовую территорию возле своего салона. Прошу навести порядок , убрать мусор и окурки."
108;Неубранная городская территория;
109;Некачественное содержание улично-дорожных информационных указателей;Не работает подсветка стелы 5011 с одной стороны. Стелла находится возле дома 1с3 по улице Коровий Вал. Исправьте пожалуйста.
110;Неубранная городская территория;
111;Захламление территории;2 недели на дворовой территории лежит твёрдый бытовой мусор, а именно бетонные плиты, тем самым создавая угрозу детям и занимая парковочные места, прошу Вас как можно скорее навести порядок, спасибо! 
112;Неубранная городская территория;Неубранный мусор
113;Повреждение уличной лестницы;Бордюры разрушились на лестнице
114;Неубранная городская территория;Когда все же наведут порядок?
115;Неубранная городская территория;Мусор возле химкинского водохранилища.
116;Захламление территории;Опять устроили свалку От бункера очень сильный запах химии на очень большом расстоянии !!!! Когда это прекратится ???!!!
117;Неубранная городская территория;Зачем-то срезали стволы кустарника, хотя он был зелёный (не завяли) и бросили на проходе вдоль дома! Уже 3 дня валяется! Пройти невозможно!
118;Захламление территории;Вторые сутки на парковочных местах лежат груды асфальтового покрытия.
119;Некачественное содержание улично-дорожных информационных указателей;
120;Неубранная городская территория;Здравствуйте! Территория между вестибюлем метро, домом №48 и домом №46 выглядит неопрятно. Кругом валяется мусор. Фотографии в двух сообщениях. Сообщение 2.
121;Неубранная городская территория;Мусор около шестого подъезда.
122;Неубранная городская территория;Захламление территории
123;Неубранная городская территория;Вдоль пешеходной зоны со стороны лавочек по Новокосинской ул. от д.38,к.1 и до д. 44 масса окурок, мусор. Необходимо убрать. Механическая подметание уборочных машин, не дает должного результата, сметается весь мусор к лавкам и на обочину, далее не убирается. Фото прилагаю.
124;Захламление территории;
125;Неубранная городская территория;Мусор за парковкой машин. Слой банок и бутылок. Прошу убрать!
126;Неубранная городская территория;
127;Некачественное содержание улично-дорожных информационных указателей;Нижняя табличка повреждена, верхняя с трещиной.
128;Захламление территории;Горы мусора!! И это влизи нового метро Ховрино! Убирите мусор!
