;Локальная тема;Описание
304;Ненадлежащий уход за зелеными насаждениями в парке;Закопайте яму
305;Некачественное содержание инфраструктуры в парке;Размыта парковая дорога
306;Некачественное содержание инфраструктуры в парке;В безобразном состоянии лавочки и урны! Требую покрасить чёрной краской ВСЕ металлические элементы и коричневой - деревянные! Такое ощущение, что вообще никто за сквером не следит! 
307;Неисправность элементов освещения в парке;Абсолютное большинство фонарей вдоль пешеходной зоны между бейсбольным полем и деревянными конструкциями у входа в парк находятся в нерабочем состоянии.
308;Некачественное содержание инфраструктуры в парке;Просадка люка в сквере между пешеходной дорожкой и дорогой
309;Ненадлежащий уход за зелеными насаждениями в парке;Очень высокая трава, крапива, репейник.
310;Некачественное содержание детской площадки в парке;
311;Ненадлежащий уход за зелеными насаждениями в парке;Валяется упавшее дерево - долина реки Сетунь вблизи ул.Давыдковская.
312;Ненадлежащий уход за зелеными насаждениями в парке;
313;Ненадлежащий уход за зелеными насаждениями в парке;В части парка с спортивной площадкой местами нескошена трава. Просим покосить и убрать траву. 
314;Некачественное содержание детской площадки в парке;Качели скрипят
315;Некачественное содержание детской площадки в парке;Грязная и липкая горка. Просьба убрать горку и весь игровой комплекс в целом.
316;Некачественное содержание спортивной площадки в парке;Вспучило резиновое покрытие
317;Ненадлежащий уход за зелеными насаждениями в парке;
318;Некачественное содержание инфраструктуры в парке;Необходимо произвести ремонтные работы деревянных конструкций моста и прилегающей к нему лестницы, расположенных в пойме реки Яуза. (Для ориентира: лестница расположена со стороны района Свиблово, за стадионом, ведет вниз к р.Яуза). 
319;Ненадлежащий уход за зелеными насаждениями в парке;На набережной реки среди деревьев образовался ОПАСНЫЙ ДЛЯ ЖИЗНИ И ЗДОРОВЬЯ провал грунта! Внешне выглядит как небольшая круглая нора. Но заглянув в нее, обнаружила, что это возможно бывший колодец, глубиной примерно 1,5-2 метра. В целях безопасности из подручных материалов соорудила небольшое ограждение. Прошу срочно принять меры!!!
320;Ненадлежащий уход за зелеными насаждениями в парке;Большой гнилой пень на газоне у пешеходного тротуара четной стороны бульвара в сквере примерно напротив д.25
321;Неисправность элементов освещения в парке;Добрый день! После моего предыдущего обращения часть фонарей в Чапаевском парке снова заработали, но не все. Практически полностью отсутствует освещение второй по счету аллеи вдоль Чапаевского переулка.
322;Неубранная парковая территория;Грязь на мосту.
323;Ненадлежащий уход за зелеными насаждениями в парке;Скошенную траву не убрали
324;Ненадлежащий уход за зелеными насаждениями в парке;
325;Ненадлежащий уход за зелеными насаждениями в парке;
326;Ненадлежащий уход за зелеными насаждениями в парке;
327;Ненадлежащий уход за зелеными насаждениями в парке;
328;Неисправность элементов освещения в парке;В парке у пруда уже несколько месяцев не работает ночное освещение. 
329;Ненадлежащий уход за зелеными насаждениями в парке;
330;Некачественное содержание детской площадки в парке;В парке на большой горке не закреплены перила, а так же на перилах отсутствует нижняя рейка, ребёнок может упасть
331;Неисправность элементов освещения в парке;Здравствуйте ! Не работает освещение теннисного корта , хотя все фонари в округе горят . Люди вечерами играют в темноте , а баскетбольная площадка освещается прекрасно .
332;Ненадлежащий уход за зелеными насаждениями в парке;
333;Некачественное содержание инфраструктуры в парке;До реконструкции парка, проход по дорожке через пруд в опасном месте был оснащён ограждением. После завершения работ по благоустройству парка , ограждение не было поставлено на место . Прошу, опасный участок огородить во избежания несчастного случая. 
334;Ненадлежащий уход за зелеными насаждениями в парке;Поваленные деревья,в большом количестве в лесопарке у МЖК( у мостика).
335;Неубранная парковая территория;
336;Некачественное содержание инфраструктуры в парке;
337;Неисправность элементов освещения в парке;На территории парка вдоль прудов от метро до ул Лавочкина не работает ни одного фонаря.
338;Некачественное содержание инфраструктуры в парке;Отсутствует ограждение!
339;Неисправность элементов освещения в парке;Добрый день. Нет освещения на площадке для настольного тенниса. Площадка находится в парке Никулинском за бензоколонкой BP
340;Неубранная парковая территория;С поляны парка не вывозится собранный в мешки мусор. Он лежит уже неделю на поляне.Такая ситуация постоянно, уже жаловались, но вывоз производится ТОЛЬКО ПОСЛЕ ЖАЛОБЫ. Примите меры для РЕГУЛЯРНОГО вывоза мусора , пожалуйста!
341;Некачественное содержание инфраструктуры в парке;
342;Некачественное содержание детской площадки в парке;Дети катаясь с горки падают об корень дерева. Просьба спилить данный корень.
343;Неисправность элементов освещения в парке;Не горит освещение беговой дорожки.
344;Некачественное содержание инфраструктуры в парке;
345;Неубранная парковая территория;Переполнена мусорка и окурки валяются
346;Некачественное содержание площадки для выгула собак в парке;У площадки уже 3 месяца нет 4-й стороны забора, так снесли гаражи, а восстановить забор никто не удосужился. И ворота невозможно закрыть, так как они перекошены! Единственная площадка в радиусе 4 километров и та не приспособленна для выгула
347;Некачественное содержание инфраструктуры в парке;Скамейка сломана
348;Ненадлежащий уход за зелеными насаждениями в парке;
349;Неубранная парковая территория;Неубраны не только урны, но и территория около лавок.Прошу отреагировать.
350;Неисправность элементов освещения в парке;Не работает фонарь освещения 
351;Некачественное содержание спортивной площадки в парке;Устранить дыры в сетке
352;Неубранная парковая территория;Уберите большой камень
353;Некачественное содержание детской площадки в парке;Отсутствует подвижные элементы.
354;Неисправность элементов освещения в парке;"Один из фонарей возле дорожки в парке (см. фото) неисправен. Место расположения - отмечено крестом на карте, второй фонарь от дороги. ""Абажура"" нет. Проблему не устранили с зимы 2019-20 гг., его тогда опрокинули трактором при уборке снега. Исправьте пожалуйста. Спасибо!"
355;Наличие опасно выступающих элементов в парке;Выступающие над уровнем земли открытые люки-трубы.
356;Ненадлежащий уход за зелеными насаждениями в парке;Заделайте яму
357;Ненадлежащий уход за зелеными насаждениями в парке;Убер те сухие ветки
358;Ненадлежащий уход за зелеными насаждениями в парке;Надо покосить
359;Ненадлежащий уход за зелеными насаждениями в парке;Надо покасить
360;Некачественное содержание детской площадки в парке;
361;Некачественное содержание детской площадки в парке;Канат оторван
362;Некачественное содержание детской площадки в парке;
363;Неубранная парковая территория;Добрый день. Территория парка у входа (напротив домов 54 корп.2 и 56 по Юн.Ленинцев) представляет собой странную смесь помойки и общественного туалета. Свежие спилы деревьев,старые ветки, крупногабаритный и мелкий мусор(см.фото) создают уютную атмосферу для проведения досуга маргиналов. Необходимо навести чистоту у входа в парк в радиусе 50 метров.
364;Неубранная парковая территория;Мусор в парке
365;Ненадлежащий уход за зелеными насаждениями в парке;
366;Ненадлежащий уход за зелеными насаждениями в парке;
367;Ненадлежащий уход за зелеными насаждениями в парке;Уберите борщивик, это же парк!!! На третьем фото место напротив которого он растет!!!
368;Неубранная парковая территория;Бетонные блоки не вывезенны
369;Ненадлежащий уход за зелеными насаждениями в парке;По всему парку частично скошена трава.
370;Ненадлежащий уход за зелеными насаждениями в парке;
371;Наличие опасно выступающих элементов в парке;Останки древнего бетонного столба на газоне у мостика через речку Сходня со стороны детской спортивной школы (д.10 по ул. Василия Петушкова)- на особо охраняемой природной территории, входящей в состав Природно-исторического парка Тушино 
372;Ненадлежащий уход за зелеными насаждениями в парке;Рулонный газон сгнил( территория дендропарка в сторону моста) Стелили в 2019 году. Надо заменить по гарантии. Написали в мэрию Москвы. просим портал помочь.
373;Ненадлежащий уход за зелеными насаждениями в парке;Дерево погибает.Сухих веток больше чем здоровых.
374;Ненадлежащий уход за зелеными насаждениями в парке;
375;Некачественное содержание инфраструктуры в парке;"У пешеходной дорожки в парке ""Дубовая роща"" проваливается грунт вокруг канализационного люка, да и на сам люк отсутствует. Вместо него железный лист придавленный кирпичом, что может привести к печальным последствиям. Прошу навести порядок и установить надлежащий люк."
376;Некачественное содержание инфраструктуры в парке;Фонтан практически не работает, 90% струй нет
377;Неубранная парковая территория;Бытовой мусор и бутылки на газоне светлогорского проезда- на особо охраняемой природной территории, входящей в состав Природно- исторического парка Тушино 
378;Неубранная парковая территория;Уже несколько недель не убраны пакеты с мусором
379;Ненадлежащий уход за зелеными насаждениями в парке;Сегодня падает дерево. Завтра оно уже будет на проводах!!!!!
380;Некачественное содержание детской площадки в парке;Детская площадка в отвратительном состоянии , опасном для жизни детей: 1) покрытие очень старое , протёртое, кругом дырки- дети задевают его и падают 2) горка старая с ужасными протертыми деревянными ступеньками и огромными дырками наверху, откуда выпадают малыши. Краска стерлась с перил 3) отсутствует нормальное оборудование - лазелки, горки
381;Ненадлежащий уход за зелеными насаждениями в парке;
382;Ненадлежащий уход за зелеными насаждениями в парке;Просьба провести покос травы на склонах парка 
383;Неубранная парковая территория;
384;Неубранная парковая территория;
385;Неубранная парковая территория;Просьба убрать мусор и камни со склонов парка 
386;Ненадлежащий уход за зелеными насаждениями в парке;
387;Ненадлежащий уход за зелеными насаждениями в парке;Почему за парком никто не следит? Где ответственные лица? Кусты разрослись так,что почти полностью перекрывают пешеходную дорожку.
388;Ненадлежащий уход за зелеными насаждениями в парке;Группа сухостойных деревьев в дендропарке. С прошлого года стоит. 
389;Неисправность элементов освещения в парке;	Не горят два фонаря освещения возле теннисных столов
390;Ненадлежащий уход за зелеными насаждениями в парке;
391;Ненадлежащий уход за зелеными насаждениями в парке;Больные-аварийные деревья в дендропарке. Стоят возле прогулочной дорожки. При ветре скрипят и гнутся.Нужен срочный спил. Высылаем 2 фото.
392;Ненадлежащий уход за зелеными насаждениями в парке;
393;Ненадлежащий уход за зелеными насаждениями в парке;
394;Ненадлежащий уход за зелеными насаждениями в парке;
395;Ненадлежащий уход за зелеными насаждениями в парке;
396;Ненадлежащий уход за зелеными насаждениями в парке;Сухие деревья в дендропарке.
397;Ненадлежащий уход за зелеными насаждениями в парке;
398;Ненадлежащий уход за зелеными насаждениями в парке;Рулонный газон, положенный в рамках благоустройства парка в 2019году сгнил. Необходима замена по гарантии. 
399;Ненадлежащий уход за зелеными насаждениями в парке;
400;Ненадлежащий уход за зелеными насаждениями в парке;Почему ВДНХ постоянно нарушают от 10.09.2002№743-ПП«Об утверждении Правил создания, содержания и охраны зеленых насаждений и природных сообществ г.Москвы».  Постоянно Косят траву триммером. Уже двое рабочих рабочих в течение 2 часов. Шум зашкаливает . Рядом жилой дом.!!! ЭТО издевательство!!! Не предпринимаются никакие меры для решения проблемы.
401;Некачественное содержание детской площадки в парке;"На детской площадке ""кубики"" у скульптуры ""Дружба"" по состоянию на 17.08.2020 19:30 внутри лабиринта был обнаружен мусор во многих секциях. Без спец оборудования убрать его не представлялось возможным. Прошу навести порядок внутри лабиринта, в том числе ВЛАЖНУЮ уборку, так как была пролита жидкость и образовались грязные лужи и пятна."
402;Неубранная парковая территория;Рядом с переходом не убирается мусор совсем , было убрано только , где сделано фото . Предыдущую мою заявку закрыли как будто все убрано на самом деле вот какая реальная картина на территории. Почему работают только по фото номер заявки был 27667242
403;Ненадлежащий уход за зелеными насаждениями в парке;В парке реки Закзника.Сетунь при урогане деревья повалило которые создали угрозу падения на людей между ул.Дорогобужская и Рябиновая.Просьба убрать чтоб не случилась трагедия.Деревья в любую минуту могут упасть нв посетителей парка.В парке расположено два дерева аварийных.А также ветки деревьев закрыли тратуар в парк .Можно выколоть глаза.
404;Некачественное содержание инфраструктуры в парке;Сломан мост в лесопарке за зданием Биннофарма
405;Ненадлежащий уход за зелеными насаждениями в парке;Уже месяц неубрано сено. Очень опасно, тк люди натыкаются на скрытые пни, выступы и ямы. уберите сено
406;Неубранная парковая территория;Наличие не убранных спиленных деревьев на берегу
407;Ненадлежащий уход за зелеными насаждениями в парке;Ветви над велодорожкой, мешающие проезду
408;Ненадлежащий уход за зелеными насаждениями в парке;Покос газона триммером
409;Некачественное содержание спортивной площадки в парке;Отсутствуют крепления брусьев
410;Некачественное содержание детской площадки в парке;Сделайте пожалуйста качели детям 
411;Ненадлежащий уход за зелеными насаждениями в парке;Корт у хоккейной коробки, зарос травой по периметру
412;Некачественное содержание инфраструктуры в парке;Разрушение бордюра ненадлежащего качества (самодельный бордюр с использованием металлического уголка).
413;Неубранная парковая территория;Время 9-20 утра, возле лавочек забиты все мусорные корзины и разбросаны, по мимо этого, рядом отходы.
414;Ненадлежащий уход за зелеными насаждениями в парке;Чуть не сломал ногу о выступающий из-под неубранного сена пень! Уберите и убирайте сено, пожалуйста, сразу после покоса.
415;Ненадлежащий уход за зелеными насаждениями в парке;Парк весь зарос траву не скашивают,лопухи уже 3 х метровые,трава догоняет лопухи
416;Ненадлежащий уход за зелеными насаждениями в парке;Необработанные повреждения
417;Наличие опасно выступающих элементов в парке;Из земли на тропинке торчит кусок металлической трубы
418;Ненадлежащий уход за зелеными насаждениями в парке;Просила пройти весь сквер проверить, а не только то что указано на фото участок . Прошу доработать этот вопрос и засеять участки . 
419;Ненадлежащий уход за зелеными насаждениями в парке;Опровержение ответа к сообщению 27752031 от 17.08.2020г, т.к. не удален пень саженца после спила сухостоя. Пень саженца был прикрыт землёй - сквер Дмитрия Михайлика.
420;Неисправность элементов освещения в парке;Не горят фонари в парке по Чукотскому проезду. Второй фонарь при спуске в парк и два фонаря напротив спортплощадки возле футбольного поля.
421;Ненадлежащий уход за зелеными насаждениями в парке;Ветки дерева над тропинкой, мешающие проходу (там же, где торчит кусок трубы)
422;Неубранная парковая территория;Перестали убирать мусор из урн
423;Некачественное содержание инфраструктуры в парке;Сломанная скамейка на набережной
424;Некачественное содержание инфраструктуры в парке;До сих пор не установлены лавки-прошло 2 месяца после отмены карантина. Люди сидят на бордюрах, а не на лавочках. Это площадь промышленности вокруг фонтана.
425;Ненадлежащий уход за зелеными насаждениями в парке;Сломанное вишневое дерево
426;Ненадлежащий уход за зелеными насаждениями в парке;Просьба провести обрезку сухостойных деревьев и веток
427;Некачественное содержание инфраструктуры в парке;Отвратительное содержание!!!
428;Неисправность элементов освещения в парке;
429;Некачественное содержание инфраструктуры в парке;Измазан чем-то черным,похоже на краску. Парк на Улофа Пальме
430;Некачественное содержание инфраструктуры в парке;В центре Зябликовского лесопарка, недалеко от оврага, бензопилой распилили деревянный стол для отдыха. Рядом лежат кучи мусора, коры от деревьев и веток, отпиленных от деревьев. Прошу навести порядок.
431;Ненадлежащий уход за зелеными насаждениями в парке;Сухие ветки на акациях и дубе возле горки-трубы. Сухие ветки на дубах возле комплекса карусель+горка+горка
432;Ненадлежащий уход за зелеными насаждениями в парке;Нужно восстановить газон .Посеять газонную траву используя укрывочный материал.
433;Некачественное содержание инфраструктуры в парке;Нужно покрасить все облезлые скамейки возле пруда.
434;Неубранная парковая территория;В сквере валяется забор, острыми элементами вверх, днем бегают дети, которые могут напороться, это очень небезопасно. Прошу убрать забор с газонов сквера
435;Некачественное содержание инфраструктуры в парке;покрасить лавочки. 
436;Неубранная парковая территория;Мусор вокруг спортплощадки
437;Некачественное содержание инфраструктуры в парке;Нужно покрасить все облезлые скамейки возле пруда.
438;Некачественное содержание инфраструктуры в парке;Некачественное содержание инфраструктуры в парке. Ямы/выбоины на пешеходных дорожках. Кривая раздолбанная дорога 
439;Неубранная парковая территория;Неубранные ветки
440;Неубранная парковая территория;Сквер не убирается
441;Некачественное содержание инфраструктуры в парке;Некачественная укладка плитки
442;Некачественное содержание инфраструктуры в парке;Отсутствуют картины в парке 
443;Некачественное содержание детской площадки в парке;Детская деревянная площадка со стороны ул. Островитянова, всеми любимая и очень часто посещаемая, требует срочного ремонта! Также в песочнице недостаточно песка, его не подсыпали с прошлого года.
444;Неисправность элементов освещения в парке;Не горит фонарь по дороге от ул. Малышева к метро Волжская в сквере
445;Некачественное содержание инфраструктуры в парке;Такие урны стоят на протяжении всего парка, даже после многочисленных жалоб и опровержений проделанных работ. Просим сделать все урны в зоне парка без исключений.
446;Неисправность элементов освещения в парке;Светильник на дорожке полностью загорожен ветками дерева. Необходимо их срезать, чтобы светильник освещал дорожку, а не крону дерева
447;Некачественное содержание инфраструктуры в парке;За летней эстрадой находиться перешеек, по которому инвалиды колясочники могут без труда ездить в центральную часть заказника. Для этого прошу заасфальтировать яму на этом перешейке перед колодцем.   С уважением Дмитрий - инвалид ДЦП.
448;Ненадлежащий уход за зелеными насаждениями в парке;"В ""Яблоневом саду"" крайне плохо ухаживают за престарелыми плодовыми деревьями. Новые плодовые деревья не высаживаются. Много сухостоя и крайне неухоженных прикорневых систем у яблонь!"
449;Ненадлежащий уход за зелеными насаждениями в парке;Огромный пень у деревянного мостика у пруда
450;Некачественное содержание детской площадки в парке;На детской площадке ( со стороны школы олимпийского резерва № 74 ) отсутствуют качели и повреждены несколько лавочек. 
451;Неубранная парковая территория;очень грязно около урн и лавочек , просалено и воняет. 
452;Неисправность элементов освещения в парке;
453;Некачественное содержание детской площадки в парке;Прошу закрыть основание демонтированного МАФ на детской площадке, пока никто из детей не покалечился.
454;Ненадлежащий уход за зелеными насаждениями в парке;Вытоптанный газон на территории яблоневого сада у восточного павильона ст. м. Славянский бульвар (фото августа 2020). Просьба снова провести благоустройство.
455;Ненадлежащий уход за зелеными насаждениями в парке;Растения на этих участках клумбы страдают от недостаточного полива.
456;Некачественное содержание инфраструктуры в парке;некачественное содержание пешеходных дорожек
457;Ненадлежащий уход за зелеными насаждениями в парке;Прошу снять с дерева около детской площадки большую сломанную ветку.
458;Неубранная парковая территория;Мусорные баки для раздельного сбора мусора забиты, уже пакеты рядом ставят. Прошу наладить график вывоза мусора.
459;Некачественное содержание инфраструктуры в парке;Дорожка ужасно разбита. Ямы глубокие, можно запросто оступиться/ наехать на велосипеде/коляске и получить травму. Ну в кроме того, насыпь камнями - это крайне неудобно. Сделайте пожалуйста уже дорожку плотную, как предыдущая часть. И ее «натуральность» как раз здорово смотрится в парке. 
460;Некачественное содержание инфраструктуры в парке;На скамейке сломана доска
461;Неисправность элементов освещения в парке;В Парке Дружбы не работает освещение на аллее, где кафе и еще на ряде аллей
462;Ненадлежащий уход за зелеными насаждениями в парке;
463;Неисправность элементов освещения в парке;21:19, темень, велодорожка вдоль набережной вообще не подсвечивается в Музеоне!
464;Некачественное содержание инфраструктуры в парке;До ремонта на мосту через пруд (болото) стояли ограждения в виде заборчиков с двух сторон. После реконструкции их убрали и сделали этот участок очень опасным для перехода с детьми. Необходимо вернуть ограждения на место
465;Некачественное содержание инфраструктуры в парке;"Не прошло и года, как в очень хорошем парке ""Академический"" при переносе, по какой-то причине, ""собачьей площадки"" была раздавлена строительными машинами плитка на дорожке и бордюры. "
466;Ненадлежащий уход за зелеными насаждениями в парке;"По периметру пруда ""Запятая"" изгородь заросла ветками. Требуется обрезка в уровень изгороди по периметру всего пруда."
467;Некачественное содержание инфраструктуры в парке;в трех местах все болтается и трещины
468;Неисправность элементов освещения в парке;В парке аллея славы,очень много перегоревших фонарей.
469;Наличие опасно выступающих элементов в парке;Добрый день! Это надо было догадаться обложить БЕТОННЫМИ бордюрами детский ТРЕК, где дети катаются на велосипедах и  самокатах, и могут упасть головой и всеми остальными частями тела на это сооружение гениального дизайнера. Придумайте более травмобезопасное решение проблемы, пожалуйста, пока кто-нибудь не получил сотрясение мозга
470;Неисправность элементов освещения в парке;Не горит часть фонарей в сквере. 
471;Некачественное содержание детской площадки в парке;Не крутится цветной диск-калейдоскоп 
472;Ненадлежащий уход за зелеными насаждениями в парке;
473;Ненадлежащий уход за зелеными насаждениями в парке;Отсутствует покос газона по всему скверу! Покос произведён только по краю сквера!
474;Неисправность элементов освещения в парке;"Парк ""Дружбы"" который день не освещён. Освещение отсутствует напрочь. Вечная темень как в фильме ужасов. От метро до дома невозможно дойти, потому что нет безопасности! Немедленно восстановите (полностью!) освещение жителям города! "
475;Некачественное содержание инфраструктуры в парке;Разрушенное дорожное покрытие
476;Неисправность элементов освещения в парке;Около дома 11к5
477;Неисправность элементов освещения в парке;Неработающее уличное освещение в парке дружбы.
478;Ненадлежащий уход за зелеными насаждениями в парке;Сплошные заросли репейника и крапивы в человеческий рост (фото сделаны с одной точки, но с постепенным поворотом на 360), не являются «луговым разнотравьем» (ваше определение) и «луговым высокотравным газоном», описанным на портале мэра в п.10 «Требований к покосу газонов в парках»
479;Неубранная парковая территория;
480;Некачественное содержание инфраструктуры в парке;Добрый день! Просим исправить результаты неисправносте и мелких хулиганств подростков.Спасибо!
481;Ненадлежащий уход за зелеными насаждениями в парке;При покосе почему-то оставили крапиву ((
482;Ненадлежащий уход за зелеными насаждениями в парке;
483;Некачественное содержание инфраструктуры в парке;
484;Некачественное содержание инфраструктуры в парке;
485;Некачественное содержание детской площадки в парке;Отсутствует спиральная конструкция вокруг этого шеста. Просьба восстановить.
486;Некачественное содержание площадки для выгула собак в парке;Через дырку выбегают собаки. Просьба заделать качественно, сейчас просто сверху намотана проволока 
487;Некачественное содержание инфраструктуры в парке;
488;Ненадлежащий уход за зелеными насаждениями в парке;
489;Некачественное содержание инфраструктуры в парке;Раньше на мостике через ручей были ограждения. Теперь их нет. Их нужно вернуть.
490;Ненадлежащий уход за зелеными насаждениями в парке;
491;Некачественное содержание инфраструктуры в парке;Необходимо положить новый асфальт,дорожка которая идёт от светофора до пруда в плохом состояниие.
492;Некачественное содержание инфраструктуры в парке;Повреждены плитки
493;Некачественное содержание спортивной площадки в парке;Добрый день! Прошу выполнить ремонт ограждения! В двух местах сверху отвалились секции забора.
494;Некачественное содержание инфраструктуры в парке;Добрый день! Прошу выполнить ремонт стенда!
495;Неисправность элементов освещения в парке;Не работает освещение на спортивной площадке парка напротив дома 4к3 по Фетивальной улице. Ни один фонарь! 
