;Локальная тема;Описание
62;Ненадлежащий уход за зелеными насаждениями в парке;В соотв с законом г.Москвы от 21 ноября 2017 г #45 ст4.17 от 22 июля 2020 прошу провести комплексную проверку парка с целью выявления всех плантаций ядовитого борщевика Сосновского, и его уничтожение и наложения штрафа на должностное и юридическое лицо ответственное за содержание данной городской территории!
63;Ненадлежащий уход за зелеными насаждениями в парке;
64;Ненадлежащий уход за зелеными насаждениями в парке;
65;Ненадлежащий уход за зелеными насаждениями в парке;
66;Неисправность элементов освещения в парке;Моргает лампочка 
67;Неисправность элементов освещения в парке;Рядом со спортивной площадкой не горит фонарь
68;Неисправность элементов освещения в парке;Здравствуйте. На территории залива не горит свет на трёх фонарях. Большая просьба решить данную проблему.
69;Неисправность элементов освещения в парке;На набережной не горит фонарь
70;Некачественное содержание инфраструктуры в парке;Мост разрушен два с лишним месяца назад
71;Неисправность элементов освещения в парке;Рядом со спортивной площадкой у зелёного домика не горит фонарь
72;Неисправность элементов освещения в парке;Не работает часть фонарей в парке просьба починить 
73;Некачественное содержание детской площадки в парке;Очень опасно торчат металлические проволоки
74;Некачественное содержание инфраструктуры в парке;Вандализм. Выломаны и разбросаны бетонные кубики (малые архитектурные формы)
75;Некачественное содержание инфраструктуры в парке;Рисунки на заборе рядом с переходом ближе к Крутицам
76;Ненадлежащий уход за зелеными насаждениями в парке;
77;Ненадлежащий уход за зелеными насаждениями в парке;
78;Некачественное содержание инфраструктуры в парке;Необходим ремонт облицовки ограждения по северной стороне парка (Яузская улица).
79;Некачественное содержание инфраструктуры в парке;
80;Некачественное содержание инфраструктуры в парке;Лавочка не покрашена.
81;Неисправность элементов освещения в парке;Огромное количество неработающих фонарей
82;Неисправность элементов освещения в парке;
83;Неисправность элементов освещения в парке;
84;Ненадлежащий уход за зелеными насаждениями в парке;Старый гнилой пень на газоне у пешеходного тротуара за остановкой
85;Неисправность элементов освещения в парке;Подходящий провод освещения стенда опасно оголен.
86;Ненадлежащий уход за зелеными насаждениями в парке;
87;Некачественное содержание инфраструктуры в парке;Сдвинуты дорожные ограждения, автотранспорт заезжает в сквер на пешеходные зоны
88;Неисправность элементов освещения в парке;В парке света перестало работать освещение на качелях в вечернее время 
89;Некачественное содержание детской площадки в парке;Сломан элемент детский площадки
90;Ненадлежащий уход за зелеными насаждениями в парке;
91;Некачественное содержание инфраструктуры в парке;
92;Некачественное содержание инфраструктуры в парке;
93;Ненадлежащий уход за зелеными насаждениями в парке;"Полное отсутствие ухода за ""клумбами"" в течение 2020 года."
94;Неисправность элементов освещения в парке;
95;Ненадлежащий уход за зелеными насаждениями в парке;"За парком не следят. Похоже ГБУ Жилищник и ваш портал занимаются ""отписками"". Уточните, пожалуйста, вышестоящий орган власти, куда можно эскалировать вопрос?"
96;Ненадлежащий уход за зелеными насаждениями в парке;
97;Некачественное содержание детской площадки в парке;Крепление не прикручено до конца, или отсутствует вовсе
98;Некачественное содержание детской площадки в парке;Канат отвязан. Дети привязали к лавке. 
99;Некачественное содержание инфраструктуры в парке;Проседание дорожки в Суворовской части парка недалеко от пруда
100;Некачественное содержание детской площадки в парке;На площадке рядом с усадьбой Нарышкиных вандальные надписи
101;Неисправность элементов освещения в парке;В темное время суток (в 21 час) нет освещения на дорожках парка и на детской площадке. Родители должны подсвечивать детям, чтобы те не получили травму. Страшно идти от метро к дому.
102;Некачественное содержание спортивной площадки в парке;Канат на спортивной площадке скоро порвётся
103;Некачественное содержание детской площадки в парке;Надписи на детском комплексе
104;Ненадлежащий уход за зелеными насаждениями в парке;После покоса две недели назад сухая трава до сегодняшнего дня неубрана. И так во всём районе Ростокино.
105;Некачественное содержание инфраструктуры в парке;В парке поврежден элемент МАФ солнечные часы. Отсутствуют римские цифры “VI” и элемент плитки под ним. Просьба восстановить. 
106;Некачественное содержание детской площадки в парке;Расшатана качели-лошадка, плохо закреплены крепления
107;Ненадлежащий уход за зелеными насаждениями в парке;
108;Ненадлежащий уход за зелеными насаждениями в парке;
109;Некачественное содержание детской площадки в парке;Сидения у петухов шатается не возможно сидеть ребенку!!
110;Неубранная парковая территория;
111;Некачественное содержание инфраструктуры в парке;Проваливаются брусчатки
112;Некачественное содержание детской площадки в парке;"5 дней назад проведены работы по восстановлению покрытия на детской площадке в парке ""Дубрава"", позади дома Ул.Соколово-Мещерская,д.14. Результат на фото. Качество работ не удовлетворительное. Работы выполнялись чернорабочими, без понимания и соблюдения технологии. Необходимо переделать за счет исполнителя."
113;Самовольная (незаконная) установка объектов в парке;"На особо охраняемой природной территории Природно-исторический парк ""Москворецкий"" на участке с кадастровым номером 77:07:0001004:42 Установлены несколько бытовок. Проведите проверку законности их установки на этом участке"
114;Наличие опасно выступающих элементов в парке;Торчит арматура и пластиковые трубки
115;Некачественное содержание инфраструктуры в парке;сломаны перекладины скамеек
116;Некачественное содержание инфраструктуры в парке;
117;Ненадлежащий уход за зелеными насаждениями в парке;У спортгородка верхняя часть ствола дерева висит на ветках
118;Ненадлежащий уход за зелеными насаждениями в парке;Прошу засеять 
119;Ненадлежащий уход за зелеными насаждениями в парке;
120;Неубранная парковая территория;Весь сквер в мусоре
121;Некачественное содержание инфраструктуры в парке;
122;Ненадлежащий уход за зелеными насаждениями в парке;Очень много сухих ветвей! Никто не следит за парком!
123;Некачественное содержание инфраструктуры в парке;
124;Некачественное содержание спортивной площадки в парке;Требуется ремонт футбольной/баскетбольной коробки. Оторваны элементы, валяются на земле. В ограждении самой коробки отсутствуют ограждающие элементы.
125;Ненадлежащий уход за зелеными насаждениями в парке;Отсутствие санитарной обрезки
126;Ненадлежащий уход за зелеными насаждениями в парке;Отсутствие санитарной обрезки деревьев
127;Ненадлежащий уход за зелеными насаждениями в парке;
128;Неисправность элементов освещения в парке;
129;Ненадлежащий уход за зелеными насаждениями в парке;Очень много сухостоя. Вот пример:
130;Ненадлежащий уход за зелеными насаждениями в парке;Грузовик номер, содержащий цифры 343, осуществил проезд по просторам с уничтожением травяного покрова, несмотря на наличие дороги рядом.
131;Ненадлежащий уход за зелеными насаждениями в парке;Сломанное дерево 
132;Неубранная парковая территория;Просьба убрать мусор и камни с газона на территории парка!
133;Ненадлежащий уход за зелеными насаждениями в парке;Отсутствие санитарной обрезки.
134;Некачественное содержание инфраструктуры в парке;Территория не убрана. Мусор
