;Локальная тема;Описание
320;Отсутствие освещения в ночное время;Не горят фонари на ограждении
321;Отсутствие освещения в ночное время;Фото в ночное время нет, так как невозможноьподойти ничего не видно полная тьма и грязь 
322;Неубранная территория строительной площадки;Невозможно пройти, повсюду грязь и лужи , нет освещения , ночью очень темно и травмоопасно 
323;Несвоевременное восстановление благоустройства;Не восстановлен газон после организации временного технологического въезда на строительную площадку.
324;Отсутствие информационного щита/некачественное содержание щита;
325;Отсутствие информационного щита/некачественное содержание щита;
326;Несвоевременное восстановление благоустройства;Для полного ,,Благоустройства,, территории необходимо ,,убрать доски,, защищающие Деревья от возможных повреждений.Им сейчас это не грозит, основные внешние работы на Торговом Центре,,Гравитация,, завершены.
327;Отсутствие информационного щита/некачественное содержание щита;
328;Отсутствие информационного щита/некачественное содержание щита;
329;Неубранная территория строительной площадки;Здравствуйте. Я конечно всё понимаю - строитель ЖК ТопХиллс идёт полным ходом, но мало того, что все осфальтированные дорожки перекопали и закрыли - теперь заблокирован сеткой единственный оставшийся проход. Люди идут по проезжей части. Кто то обходит сетку, но там сейчас из-за перекопаных труб грязь. Как идти к метро? Прошу срочно принять меры!!!!
330;Отсутствие информационного щита/некачественное содержание щита;
331;Несвоевременное восстановление благоустройства;Не восстановлено благоустройство на территории Лицея «Воробьёвы горы».
332;Несвоевременное восстановление благоустройства;Добрый день! Повреждено дорожное покрытие.
333;Отсутствие информационного щита/некачественное содержание щита;
334;Несвоевременное восстановление благоустройства;
335;Отсутствие информационного щита/некачественное содержание щита;
336;Отсутствие освещения в ночное время;не допустимы работы без красных фонариков по всему периметру стройки, нарушение.
337;Отсутствие ограждения площадки/ некачественное содержание ограждения;Некачественное содержание ограждений на Ряжской улице. Доступ третьих лиц не ограничен. 
338;Отсутствие ограждения площадки/ некачественное содержание ограждения;Где ограждение?! Уважаемый ОАТИ, рядом школа!
339;Несвоевременное восстановление благоустройства;После разрытия газона на пересечении улицы Маргелова и Хорошевского шоссе не восстановлен бордюрный камень. В результате во время дождя грязь с газона течет на тротуар. Управа Хорошевского района на обращения не реагирует. Прошу обязать собственника территории восстановить бордюрный камень между тротуаром и газоном.
340;Неубранная территория строительной площадки;Со строительной площадки льётся грязь на дорогу и тротуар.
341;Несвоевременное восстановление благоустройства;После разрытия не убраны временные опоры, и торчащие временные фундаменты.
342;Отсутствие ограждения площадки/ некачественное содержание ограждения;нет ограды полной
343;Неубранная территория строительной площадки;Просьба убрать грязь от стройки, размещённую по двору, просьба почистить туалеты, около стройки едкий запах аммиака.
344;Отсутствие ограждения площадки/ некачественное содержание ограждения;Выведенный грунт на строй площадке завалил ограждение прямо на пешеходную зону. Опасность для пешеходов, детей.
345;Отсутствие информационного щита/некачественное содержание щита;
346;Несвоевременное восстановление благоустройства;После проведения ремонтных работ образовался провал грунта. Просьба восстановить асфальт и наказать подрядчика
347;Отсутствие ограждения площадки/ некачественное содержание ограждения;Между домами 152к4 и 152к3 по Варшавскому шоссе на территории детской площадки стройка, которая замерла месяца как 2. Разрыт огромный котлован,ограждения при этом ненадёжные,между ними зазоры. Неустойчивые,опасны для детей.
