;Локальная тема;Описание
0;Отсутствие информационного щита/некачественное содержание щита;
1;Отсутствие ограждения площадки/ некачественное содержание ограждения;Пожалуйста, восстановите целостность забора строительства сзади дома 107к3. Спасибо
2;Отсутствие информационного щита/некачественное содержание щита;
3;Отсутствие освещения в ночное время;Нет осветительных плафонов для освещения строительной площадки в тёмное время суток,
4;Отсутствие ограждения площадки/ некачественное содержание ограждения;Нет тканевых огражлений на строительной площадке, пыль при ветре летит на прохожих. Видна плохо огороженная глубокая яма.
5;Неубранная территория строительной площадки;Пожалуйста, уберите крупный мусор (паллеты, покрышки для разметки) на стройку. Спасибо
6;Отсутствие освещения в ночное время;Нет освещения на строительной площадке в тёмное время суток. Осветительные плафоны на ограждения повешены, но не горят.
7;Отсутствие ограждения площадки/ некачественное содержание ограждения;Около остановки общественного транспорта м. Ботанический сад154.33 - ограждения не закреплены, нет ночного освещения, нет информационного щита. Ограждения упали на проезжую часть
8;Отсутствие ограждения площадки/ некачественное содержание ограждения;Временный пешеходный настил не соответствует нормативным требованиям. Пройти с коляской невозможно. Приходится идти по проезжей части.
9;Отсутствие ограждения площадки/ некачественное содержание ограждения;Перерыт тротуар в районе дома 97 и 99, обход/объезд не организован! Нет пандуса для пешеход с колясками, велосипедами и для маломобильной группы лиц. Высокий бордюр не дает возможности подняться.
10;Отсутствие информационного щита/некачественное содержание щита;
11;Неубранная территория строительной площадки;раскидали вокруг ограждения 
12;Несвоевременное восстановление благоустройства;Во время ремонта теплотрассы выкопали и вытащили на тротуар стойку с информационными табличками. После окончания ремонта так и оставили стойку на тротуаре. Верните стойку на ее исходное место на газоне. Спасибо
13;Отсутствие ограждения площадки/ некачественное содержание ограждения;На ограждении присутствует графити 
14;Отсутствие информационного щита/некачественное содержание щита;
15;Отсутствие освещения в ночное время;Отсутствуют лампочки аварийного освещения в ночное время строительной площадки проекта «походный» мосгаза у не регулируемого пешеходного перехода на пересечении Фабричного проезда и Окружной ул. , со стороны Сходненского Ковша
16;Отсутствие ограждения площадки/ некачественное содержание ограждения;Ограждения необходимо покрасить
17;Отсутствие ограждения площадки/ некачественное содержание ограждения;Покосившийся ржавый забор с опасно выступающими элементами на пересечении улиц Рузская и Тропаревская
18;Отсутствие освещения в ночное время;Отсутствует предупреждающее освещение (красные огни) по периметру стройки (со стороны д.14 к.1). Адрес: Окская улица д.16 к.3
19;Отсутствие ограждения площадки/ некачественное содержание ограждения;На ограждении прустувуюи графити. 
20;Отсутствие освещения в ночное время;"Возле недавно построенного метро ""Солнцево"" опять стройплощадка. На ограждении нет аварийного освещения."
21;Отсутствие информационного щита/некачественное содержание щита;
22;Неубранная территория строительной площадки;Захламление территории (пожарный проезд) строительным мусором. Хранение стройматериалов.
23;Отсутствие освещения в ночное время;Отсутствует аварийное освещение
24;Отсутствие информационного щита/некачественное содержание щита;
25;Отсутствие информационного щита/некачественное содержание щита;
26;Отсутствие информационного щита/некачественное содержание щита;
27;Отсутствие информационного щита/некачественное содержание щита;
28;Несвоевременное восстановление благоустройства;Почему не восстановлено дорожное покрытие тротуара после разрытия?
29;Несвоевременное восстановление благоустройства;Прошу убрать с парковки временные знаки пешеходного перехода, которые были установлены на время проведения работ на теплоцентрали. Работы окончены,а знаки так и остались стоять на парковке.
30;Неубранная территория строительной площадки;Неубранная территория на стройке.
31;Несвоевременное восстановление благоустройства;
32;Отсутствие информационного щита/некачественное содержание щита;
33;Несвоевременное восстановление благоустройства;Не демонтирована одна ржавая наклонённая опора электроснабжения стройплощадки и бетонные плиты возле неё
34;Отсутствие освещения в ночное время;Нет красных фонариков д.4 по всему периметру ограждения стройки, нарушение.
35;Отсутствие освещения в ночное время;Отсутствует освещение в ночное время
36;Несвоевременное восстановление благоустройства;Требуется восстановление благоустройства, на тротуаре после развития.
37;Несвоевременное восстановление благоустройства;После проведения работ дорожные покрытия, тротуары, газоны и другие разрытые участки должны быть восстановлены в сроки, указанные в ордере (разрешении). Строительные работы закончились, а место их проведения до сих пор не приведено в изначальный вид.
38;Несвоевременное восстановление благоустройства;
39;Отсутствие информационного щита/некачественное содержание щита;
40;Несвоевременное восстановление благоустройства;после выполнения работ без ограждений отсутствует благоустройство
41;Отсутствие ограждения площадки/ некачественное содержание ограждения;отсутствуют ограждения котлована рядом с детской площадкой
42;Отсутствие освещения в ночное время;Отсутствует освещение предупреждающими красными огнями ограждения стройки РЕНОВАЦИИ. Адрес: ул. Юных Ленинцев, вл.73
43;Отсутствие ограждения площадки/ некачественное содержание ограждения;Ведуться земляные работы, а ограждение места работ отсутствует.
44;Отсутствие освещения в ночное время;Не работает аварийное освещение.
45;Отсутствие ограждения площадки/ некачественное содержание ограждения;На ограждении стройплощадки посторонние надписи.
46;Несвоевременное восстановление благоустройства;Прошло более года после работ, а восстановить тротуар ни кто не в силах. Прошу устранить.
47;Отсутствие информационного щита/некачественное содержание щита;
48;Отсутствие ограждения площадки/ некачественное содержание ограждения;
49;Отсутствие освещения в ночное время;
50;Отсутствие информационного щита/некачественное содержание щита;
51;Неубранная территория строительной площадки;Отсутствует мойка колес на территории стройки. Вынос грязи со стройки.
52;Отсутствие информационного щита/некачественное содержание щита;
53;Отсутствие освещения в ночное время;
54;Несвоевременное восстановление благоустройства;Более двух лет назад установлена новая опора контактной сети троллейбуса, но со старой опоры на новую не перенесли кабели и светильники наружного освещения и не демонтировали её.
55;Неубранная территория строительной площадки;По адресу земляной вал 70 строили административное здание, бетономешалки постоянно на развороте над тоннелем оставляли грязь или сливали остатки бетона, дорога на развороте покрыта остатками бетона, прошу убрать
56;Несвоевременное восстановление благоустройства;Добрый день! Не восстановлено асфальтовое покрытие.
57;Отсутствие ограждения площадки/ некачественное содержание ограждения;Во дворе жилого дома, в 200 метрах от школы находится заброшенная стройка, представляющая угрозу для безопасности населения. Ограждение по периметру частично отсутсвует или имеет бреши. На территории стройки беспрепятственности гуляют дети. Прошу также сообщить информацию в каких целях и кем осуществлялось строительство и почему оно не завершено.
58;Отсутствие освещения в ночное время;Отсутствует освещение ограждения строительной площадки. Работы ведутся. Заказчик АО Центр-Инвест.
59;Неубранная территория строительной площадки;Занесите стройматериалы на огороженные территорию стройки. Адрес: улица Юных Ленинцев д.75 к.1
60;Отсутствие ограждения площадки/ некачественное содержание ограждения;Частичное отсутствие ограждения строительной площадки.
61;Отсутствие освещения в ночное время;Отсутствие аварийного освещения
62;Отсутствие освещения в ночное время;Отсутствует аварийное освещение
63;Несвоевременное восстановление благоустройства;После установки новой опоры контактной сети троллейбуса со старой опоры не перенесли провода и не демонтировали её, также не восстановлено асфальтобетонное покрытие тротуара вокруг новой опоры.
64;Несвоевременное восстановление благоустройства;Остатки оснований и бетонных плит
65;Несвоевременное восстановление благоустройства;На участке длинной 600 метров вдоль прогулочный зоны мазиловского пруда несколько недель назад завершены работы по установке ограждения линии метро. Благоустройство не восстановлено, глина, повреждены деревья, валяется арматура, куски забора, колючая проволока.
66;Отсутствие освещения в ночное время;На ограждении нет аварийного освещения.
67;Несвоевременное восстановление благоустройства;Провалилась штрафа. Прошу восстановить.
68;Несвоевременное восстановление благоустройства;Сколько ещё ,, Времени потребуется,, для окончания ,, Ремонта Гидроизоляции,, над выходом из Метро Чертановская,, к Северному Пруду,,.Пора заканчивать ,, эту Великую Стройку,,.
69;Отсутствие освещения в ночное время;Не допустимо. Нет красных фонариков по всему периметру ограждения стройработ, нарушение.
70;Несвоевременное восстановление благоустройства;После окончания строительства в августе этого года на бульвар напротив д 35 просьбим высадить деревья, а так же напротив д 33 кор 1,т к после предыдущей реконструкции бульвара не высажено ни одного дерева,только несколько кустов силами жителей,т к до наших домов рабочие даже не дошли,поэтому бульвар в конце получается почти без деревьев
71;Отсутствие информационного щита/некачественное содержание щита;
72;Отсутствие освещения в ночное время;Не допустимо. Нет красных фонариков по всему периметру ограждения стройки, нарушение.
73;Отсутствие ограждения площадки/ некачественное содержание ограждения;Место разрытия ни как не ограждено 
74;Несвоевременное восстановление благоустройства;По данному проезду находятся 3 траншеи, - машины в них проваливаются , объехать траншеи негде . Благоустройство после раскопки не завершено
75;Отсутствие ограждения площадки/ некачественное содержание ограждения;Территория земляных работ не ограждена 
76;Отсутствие ограждения площадки/ некачественное содержание ограждения;Напротив входа в лечебный корус 12 КДЦ МО РФ по адресу академика Скрябина 3 к.4 ведется строительство. Часть забора демонтирована и на тротуаре расположена строительная техника и ведутся работы. Граждане, пришедшие на прием, вынуждены подвергаться опасности, так как нет ограждения, а тротуар занят работающим эксковатором.
77;Отсутствие освещения в ночное время;Отсутствует освещение оргаждения
78;Отсутствие ограждения площадки/ некачественное содержание ограждения;На строительной площадке отсутствует часть ограждения
79;Отсутствие ограждения площадки/ некачественное содержание ограждения;Строительный объект не огорожен. При этом опасно свисает кусок бетонной плиты.
80;Несвоевременное восстановление благоустройства;
81;Несвоевременное восстановление благоустройства;По многочисленным просьбам жильцов по адресу Садовническая 16 и 18 домов просим ускорить ремонт участка двора ( ремонт должны сделать были в течение 10 дней которые уже прошили и 7 дней как уже ни кто не появляется ) из-за этого ремонта при осадках идёт подтопления подвала дома 16 также не вывозится мусор баки , примете меры .
82;Отсутствие ограждения площадки/ некачественное содержание ограждения;Посторонние надписи на ограждении стройплощадки.
83;Отсутствие освещения в ночное время;Не на всех секциях ограждения стройплощадки находятся осветительные плафоны.
84;Несвоевременное восстановление благоустройства;Выбоина на тротуаре. Устраните нарушение.
85;Несвоевременное восстановление благоустройства;После земляных работ не восстановлено благоустройство, Мосводостоком
86;Отсутствие ограждения площадки/ некачественное содержание ограждения;Яма не огорожена
87;Отсутствие освещения в ночное время;Нет освещения
88;Отсутствие информационного щита/некачественное содержание щита;
89;Отсутствие ограждения площадки/ некачественное содержание ограждения;Из ограждения торчат строительные материалы.
90;Отсутствие ограждения площадки/ некачественное содержание ограждения;Неогороженная должным образом строительная площадка. Прошу принять меры к подрядной организации и должностным лицам, допускающим данное разгильдяйство.
91;Несвоевременное восстановление благоустройства;После организации парковочного пространства, остались неубранными четыре бетонных блока. Ранее они использовались для ограждения стройплощадки. Фото сделано из дома Полины Осипенко 18, к.2, 3 подъезд в сторону офисного строения по адресу ул. Полины Осипенко 20А.
92;Отсутствие освещения в ночное время;Работы ведутся без ночного освещения
93;Неубранная территория строительной площадки;ТПУ Ховрино, снова вонище от биотуалетов со строительной площадки!
94;Отсутствие освещения в ночное время;Уже несколько недель стоит забор, но красное аварийное освещение на нём отсутствует вовсе. Необходимо исправить.
95;Отсутствие информационного щита/некачественное содержание щита;
96;Отсутствие информационного щита/некачественное содержание щита;
97;Отсутствие освещения в ночное время;Отсутствует красное освещение полностью, на обоих участках стройплощадки. Со стороны проезжей части фонари присутствуют, а со стороны тротуара их нет вовсе. Провода оборваны, часть плафонов и ламп отсутствует, часть плафонов в сборе висят без проводки к ним. Необходимо установить красное освещение по всему периметру обоих стройплощадок. Спасибо.
98;Отсутствие информационного щита/некачественное содержание щита;
99;Неубранная территория строительной площадки;Территория не убраноа от грунта набросанного строительной техникой
100;Несвоевременное восстановление благоустройства;Начиная от Ю.Л и вдоль всей улицы по Маршала Чуйкова ( четная сторона) в сторону метро Кузьминки, не восстановлено благоустройства после проведённых земляных работ. Нарушителем является Мосгаз
101;Отсутствие ограждения площадки/ некачественное содержание ограждения;Отсутствует сплошное ограждение по всему дополнительному периметру стройки. Адрес: ул. Юных Ленинцев, вл.42
102;Отсутствие информационного щита/некачественное содержание щита;
103;Неубранная территория строительной площадки;Заберите крупные строй.материалы со двора на территорию стройки. Адрес: ул. Юных Ленинцев, вл. 42
104;Отсутствие ограждения площадки/ некачественное содержание ограждения;Отсутствует ограждение строительства. Уважаемый господин Ларин, прошу посмотреть как вынуждены ходить москвичи и гости города Москвы
105;Отсутствие информационного щита/некачественное содержание щита;
106;Отсутствие информационного щита/некачественное содержание щита;
107;Отсутствие освещения в ночное время;Ни одной лампочки на ограждении. 
108;Несвоевременное восстановление благоустройства;После проведения строительных работ оставлена временная опора освещения, она закреплена в стаканном фундаменте деревянными клиньями, при этом фундамент опоры расположен на тротуаре и опасно выступает из него. Необходимо установить постоянную опору за пределами тротуара. 
109;Отсутствие информационного щита/некачественное содержание щита;
110;Отсутствие информационного щита/некачественное содержание щита;
111;Отсутствие освещения в ночное время;
112;Отсутствие информационного щита/некачественное содержание щита;
113;Отсутствие освещения в ночное время;
114;Отсутствие информационного щита/некачественное содержание щита;
115;Отсутствие ограждения площадки/ некачественное содержание ограждения;Посторонние надписи на ограждении стройплощадки.
116;Несвоевременное восстановление благоустройства;Уважаемые Строители ,,Долгожданного Торгового Центра,,Гравитация,,.Центр находится на ,,Самом Видном Месте,, Нашего Района Чертаново Северное. Со Всех Сторон ,,Очисть от Излишков асфальта, вдоль ,,Стены ,, заравнять все ,,прощелины,, канавки, выравнить  ,,Ограждение,,Убрать ,,Каракули со Стен,,.
117;Отсутствие освещения в ночное время;Ранее мной было отставлено обращение №26859011 о отсутствие сигнального освещения на ограждающей конструкции строительной площадки со стороны дома ул. Полины Осипенко д.4. к.2.  Получен ответ, что проблема устранена и приложены фотографии забора не со стороны дома №4 корпус 2 по ул. Полины Осипенко. Проблема до сих пор не устранена!
118;Отсутствие ограждения площадки/ некачественное содержание ограждения;Ограждения валяются на газоне
119;Отсутствие освещения в ночное время;улВ. Пика около остановки М. Ботанический сад- раздолбали весь тротуар. Освещения нет
120;Несвоевременное восстановление благоустройства;После реконструкции шоссе Энтузиастов не была демонтирована старая выведенная из эксплуатации опора.
121;Несвоевременное восстановление благоустройства;Повреждение дорожного покрытия на тротуаре (ямы, выбоины) 
122;Неубранная территория строительной площадки;В понедельник вышел утрои и увидел вот такое состояние дороге, вся в белых разводаз с о следамт трактора и на автомобильной дороге грязь, очень похоже что смывали грязь а по пешеходной возвращались обратно и то не доканца, чуток по дальше.
123;Отсутствие ограждения площадки/ некачественное содержание ограждения;
124;Отсутствие ограждения площадки/ некачественное содержание ограждения;Реклама на ограждении
125;Отсутствие информационного щита/некачественное содержание щита;
126;Несвоевременное восстановление благоустройства;После реконструкции системы освещения, и установки новых опор, не были демонтированы старые опоры, сейчас стоят сдвоенные опоры.
127;Неубранная территория строительной площадки;Вынос грязи на тротуар к остановке. Прошу срочно отмыть до черного асфальта
128;Несвоевременное восстановление благоустройства;После реконструкции системы освещения, и установки новых опор, не были демонтированы старые опоры, сейчас стоят сдвоенные опоры.
129;Отсутствие освещения в ночное время;отсутствие освещения в ночное время. 
130;Отсутствие информационного щита/некачественное содержание щита;
131;Отсутствие ограждения площадки/ некачественное содержание ограждения;Пройти по тротуару ул. В. Пика около метро Ботанический сад невозможно пройти. Ограждения не закреплены. Такая проблема с обеих сторон улицы.
132;Отсутствие освещения в ночное время;Отсутствует освещение стройгородка. Просьба незамедлительно устранить проблему
133;Несвоевременное восстановление благоустройства;После реконструкции шоссе Энтузиастов не была демонтирована старая выведенная из эксплуатации опора...
134;Несвоевременное восстановление благоустройства;После установки опоры двойного назначения, не были демонтированы выведенные из эксплуатации старые бетонная и металлическая опора.
135;Отсутствие информационного щита/некачественное содержание щита;
136;Несвоевременное восстановление благоустройства;После замены опоры, не была демонтирована старая опора.
137;Неубранная территория строительной площадки;Строительная площадка регулярно должна очищаться от мусора и использованных строительных материалов,строительная площадка и прилегающая к ней территория содержится в ненадлежащем санитарном состоянии. ИКБ 1 .
138;Неубранная территория строительной площадки;Строительная площадка регулярно должна очищаться от мусора и грязи, строительная площадка должна содержится в ненадлежащем санитарном состоянии.
139;Неубранная территория строительной площадки;
140;Отсутствие информационного щита/некачественное содержание щита;
141;Несвоевременное восстановление благоустройства;После окончания очередных аварийно-спасательных раскопок на газоне нечетной стороны Походного проезда позади д.18 на проезде Донелайтиса над подземными коммуникациями образовались большие провалы. Даже травяной покров не может скрыть их значительное понижение и вонючий запах от находящийся в непосредственной близости от них колодцев
142;Отсутствие ограждения площадки/ некачественное содержание ограждения;
143;Отсутствие освещения в ночное время;Стройка есть, а освещения НЕТ. Обратите внимание, что информация о повреждении ограждения стройки уже направлена на портал
144;Отсутствие ограждения площадки/ некачественное содержание ограждения;Примите срочные меры по устранению нарушения. Возможно травмирование жильцов
145;Отсутствие ограждения площадки/ некачественное содержание ограждения;Полностью открыт доступ на место строительных работ.
146;Отсутствие информационного щита/некачественное содержание щита;
147;Несвоевременное восстановление благоустройства;На пересечении ул. Мерянка и ул. Ак. Алиханова два месяца назад проводились работы. В данный момент никаких работ не ведется. При этом перекрыто половины дороги. Для поворота приходится выезжать на встречную полосу. Светофор одновременно включается сразу на два поворота с двух сторон. Постоянно создаются аварийные ситуации.
148;Отсутствие освещения в ночное время;
149;Отсутствие информационного щита/некачественное содержание щита;
150;Отсутствие информационного щита/некачественное содержание щита;
151;Отсутствие информационного щита/некачественное содержание щита;
152;Отсутствие освещения в ночное время;Нет освещения стройплощадки
153;Отсутствие информационного щита/некачественное содержание щита;
154;Несвоевременное восстановление благоустройства;На данном участке уже давно закончена работа, но благоустройство не восстановлен. Прошу обязать подрядчика устранить проблему.
155;Неубранная территория строительной площадки;Опять всё разбросали.
156;Отсутствие освещения в ночное время;Отсутствует освещение
157;Несвоевременное восстановление благоустройства;Здравствуйте, длительное время не восстановлен многочисленный газон после разрытий, образовались огромные кучи земли и мусора. В связи с этим требуется привести газон в удовлетворительное состояние.
158;Несвоевременное восстановление благоустройства;Здравствуйте, длительное время не восстановлен многочисленный газон после разрытий. На газоне образовались огромные кучи земли и мусора. В связи с этим требуется привести газон в удовлетворительное состояние.
159;Несвоевременное восстановление благоустройства;Добрый день! Пусть мусор за собой уберут до конца!
160;Отсутствие ограждения площадки/ некачественное содержание ограждения;Посторонняя надпись на ограждении.
161;Несвоевременное восстановление благоустройства;
162;Отсутствие ограждения площадки/ некачественное содержание ограждения;Обрушение заграждения на проезжую часть и пешеходный переход. Не соблюдение чистоты и порядка на строй площадке.
163;Отсутствие освещения в ночное время;Отсутствует освещение в ночное время
164;Отсутствие освещения в ночное время;Отсутствует освещение места разрытия в ночное время
165;Отсутствие информационного щита/некачественное содержание щита;
166;Отсутствие ограждения площадки/ некачественное содержание ограждения;Здравствуйте! По дороге вдоль домов Дмитровское ш., д. 89 к 2-4, ведутся строительные работы, но ходить по этой дороге ужасно. Сплошная грязь! А эта дорога к метро! Раньше хоть деревяшки лежали, а сейчас сплошное глиняное мессиво! Просьба привести дорогу в порядок и проложить чистую дорожку для пешеходов.
167;Отсутствие освещения в ночное время;Отсутствует освещение, ранее оно было
168;Неубранная территория строительной площадки;С прилегающей территории, где складируются строительные материалы строительной техникой происходит вынос грунта на проезжую часть. Прошу принять меры к подрядной организации 
169;Отсутствие информационного щита/некачественное содержание щита;
170;Несвоевременное восстановление благоустройства;Не восстановлена пешеходная дорожка после разрытия.
171;Отсутствие освещения в ночное время;Не работает освещение котлована
172;Отсутствие освещения в ночное время;Отсутствие аварийного освещения
173;Несвоевременное восстановление благоустройства;после завершения аварийных работ остались гора мусора, разрытые газоны и тротуары, поврежденные бордюры
174;Отсутствие информационного щита/некачественное содержание щита;
175;Отсутствие информационного щита/некачественное содержание щита;
176;Отсутствие информационного щита/некачественное содержание щита;
177;Неубранная территория строительной площадки;
178;Отсутствие информационного щита/некачественное содержание щита;
179;Отсутствие освещения в ночное время;Не работает сигнальное освещение
180;Несвоевременное восстановление благоустройства;Добрый день! Прошу восстановить озеленение.
181;Отсутствие ограждения площадки/ некачественное содержание ограждения;Незакрепленные ограждения
182;Отсутствие ограждения площадки/ некачественное содержание ограждения;Граффити на ограждении
